,SMILES,ATSC5v,AATSC5Z,MATS8se,AATS2p,ATSC5Z,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),lab_code,crystal_size,crystal_score
0,CC(N)c1cccnc1-c1ccccn1,-444.9169304428698,-1.5981919083422842,0.22081563695238796,1.6188917108382128,-91.0969387755102,168.06772667809992,76.52989285789415,142.7268456401406,72.08887601537765,0,1.779350299761904,4.0
1,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.34870499052432175,1.7141158932775526,-15.22495274102079,57.18031509740178,55.03652118632803,134.43653302855816,124.23507693589927,0,0.564650584073578,4.0
2,Cc1ccnc(COc2cc(C)n[nH]2)c1,203.5561382096199,0.1104702750665485,-0.2829802189915741,1.4502366638738124,5.081632653061231,3.8529278502896327,134.99667536098283,127.55012044445337,164.88636484257503,0,0.8016608336128356,4.0
3,Cc1ccnc(CNC2C=CCCC2)c1,125.64012450778216,0.08994708994709003,-0.1301584470042221,1.4675263743269342,5.666666666666671,95.09372609500426,95.90644711049183,186.16080283872438,74.63571878521782,1,0.7618942529312976,4.0
4,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.34870499052432175,1.7141158932775526,-15.22495274102079,143.50660093795182,105.55310923226182,183.73561798460517,126.25432991364436,1,0.7678560518181817,4.0
5,Cc1ccnc(-c2cnc3sccc3c2)c1,19.614565954286476,0.3632009016624399,-0.029115961719302946,1.9954756301010443,15.254437869822475,55.26707373919929,55.36754177920492,151.35323147599107,148.29267466961784,0,0.5614213112188703,4.0
6,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.34870499052432175,1.7141158932775526,-15.22495274102079,61.56366396177878,73.68994578794559,82.48592608365878,104.92858884816911,0,0.7043822224704388,4.0
7,Cc1cc2c(-c3cccnn3)ccnc2cc1[O-],-171.46973892076667,0.23700869236583536,0.14162064091817467,1.814142249261396,12.798469387755109,50.33945787108521,154.30015755228555,16.61540290425069,32.287479358520514,1,0.9837547908090819,4.0
8,Cc1ccncc1Cc1nc([NH-])nc2ccsc12,583.1459350476695,1.754694902138422,-0.5435203276456957,1.9137132113879198,110.54577883472058,33.24953111528748,112.1027291119284,24.294883506883323,114.79056449040986,1,0.5461928245317926,4.0
9,Cc1ccnc2cncc(-c3cn[nH]c3)c12,-588.7513059452914,-1.3246133084189766,0.11441525226691324,1.7586457761010443,-75.50295857988166,65.49943233450533,143.55518210252384,100.45493718829296,90.65057079307755,1,1.349614338126765,4.0
10,CCc1ccnc(C(=O)O)c1,-59.91046624482544,0.5625,0.3868984423954211,1.504127623418625,18.0,127.12362292372401,47.47881120423044,71.01312042693115,72.62980884107874,1,0.8418098433756739,4.0
11,Cc1cnc(CO)cc1C,196.53700072636394,0.9661057405418306,0.3118624101428318,1.4350934378840858,36.712018140589564,75.49437042840229,141.97644449100298,71.61047846318627,67.37890393542308,1,1.0340089097555545,4.0
12,CC1CC=C2N=CC=C(C(C)N)C2O1,-305.7985520543945,-0.8294444444444442,0.32858773654645795,1.4234654096569999,-59.719999999999985,71.40035595365524,124.02368957162263,149.40007297666958,116.28778702200059,1,1.2290790105424,4.0
13,c1ccc(-c2ccc(C3=NCCO3)nc2)nc1,-298.15828835876596,-2.0363797692990238,-0.21338575014421113,1.6328742845244488,-93.67346938775509,8.041300170980831,15.60461111904358,4.042066536559963,72.46438150186677,1,0.26883253333333346,4.0
14,OCc1cccnc1-c1ccccn1,-325.50087227834166,-1.5743563685636854,0.10305945780096017,1.6798050801756153,-64.5486111111111,109.43463723066533,128.89141567267558,153.6236081933882,167.11570331066972,1,1.6565798708658002,4.0
15,Cc1c(C2CCCCC2)nc2ccccc2c1C,-445.6214891893309,-0.8700209643605871,0.10292254158537102,1.5838615976755133,-92.22222222222223,101.14221005170083,80.91455800074364,174.1173214328246,114.35346884629588,0,1.7005439095238069,4.0
16,CC(N)c1cccnc1-c1ccccn1,-444.9169304428698,-1.5981919083422842,0.22081563695238796,1.6188917108382128,-91.0969387755102,174.33528085133463,11.739258321275958,185.6534664231077,99.656768404837,0,0.5387319717948723,1.0
