Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS1se,base_GATS3Z,base_GATS3m,solvent_SdssC,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3950110,CCN(C)c1cc(C)cc(Nc2cc(-c3nc(C(C)(C)C)c(C)s3)cc(P(C)c3cccc(C)c3)c2)c1C,64.376,117.3793,0.0619,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"64.3764, 0.3237",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,0.0,0.0,1.0624999999999998,2,64.3764,0.3237,5.007623696852765,2.121468926553672,0.08677787284996029,5.608187755102042,179.41001381203827,20.825778127334623,-0.5122471309226511,7.220719697959183,0.10842765153012963,1.044508972128638,0.015782294067164936,-0.06169727332195222,-0.041491416309012874,1.0418075333972951,0.7949464776571663,-0.20982011038509754,0.5176061206468557,2.249085995867112,5.7691561643835625,0.10831382737475305,0.08730625216779778,1.3052623725300367,-0.5122471309226511,7.328855808219179,-0.5122471309226511,6.137903614457831,1.0038899573758742,7.829489131242132,-25.168734567901247,5.786277253218884,30.47395232767911,-0.4413845919176719,0.03030605283264464,0.39042715930094307,0.37318751092584934,0.0,0.03662585785209272,15.875536480686696,0.03447802066492274,1.9129048833309947
Result3950141,CCN(C)c1cc(C)cc(Nc2ccc(-c3cc(C(C)(C)O)ccc3P(CC)CC)cc2)c1,64.217,108.9035,0.0785,O=C([O-])C.[K+],CCCC#N,"64.2165, 0.1594",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.3691437802907915,1,64.2165,0.1594,0.0,2.241569928137092,0.10302260030914834,5.576911214953272,163.45635626620506,15.521238231095715,-0.20874391827621075,7.189751308411215,0.09447112086705994,1.086900315729147,-0.08004090064538372,-0.08566179636593277,-0.05233235129068462,1.0820157675276685,0.3750638127775403,0.027439734457701464,0.47776570477057095,1.8979797979797979,5.785638461538463,0.09369480569495356,-0.13615395026294314,1.0962915926660253,-0.20874391827621075,7.337089661538461,-0.20874391827621075,6.1510337837837845,1.063030719465612,6.594561489094245,-54.00807803688463,5.701586363636365,36.13294677838242,-0.44099683217091046,0.03317107279858665,0.3911889764072784,0.36069491169619616,13.847474399381248,0.03083232405129258,12.904545454545454,0.07177433774101886,2.0311224821355167
Result3950135,CCCNC(=NC1C(=O)N=C(c2ccccc2)c2ccccc21)P(c1ccccc1)c1ccccc1,53.388,119.7942,0.0931,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"53.3882, 2.1272",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,53.3882,2.1272,5.576708190299181,5.145925925925926,0.09524681849658367,6.029336787564767,231.49627225721173,15.925868396484145,-0.9757999327875677,7.5396693160621755,0.09380851541913211,0.7587114579352318,-0.14493512698958183,-0.1769956291695422,-0.09333753881987578,0.71699178852624,0.44077684623310986,0.005175967501348287,0.21298191372245515,5.034506556245686,5.990533628318584,0.09352896630526845,-0.05983880285338136,0.9911619489876053,-0.9757999327875677,7.466633097345132,-0.9757999327875677,6.25397794117647,0.7457173594620585,9.942716250024082,-58.75731819058642,6.25675403726708,6.544756405912575,-0.37615056415457215,0.03106304543855724,0.33982540314266985,0.4355263915617982,66.73003775307771,0.016273946369445416,22.5527950310559,-0.0649265045257479,2.614847769959267
Result3950148,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,52.621,115.3912,0.1238,O=C([O-])C(C)(C)C.[K+],CCCC#N,"52.6210, 4.6248",0.1556534312908589,0.1428941881283608,0.476153268219384,0.5051641116163132,0.0,0.0,1.3691437802907915,1,52.621,4.6248,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3950144,CCC(C)c1cc(O)cc(C)c1CP(C)CC,46.486,93.8896,0.0781,O=C([O-])C.[Cs+],CCCC#N,"46.4858, 1.5207",0.15437109729761034,0.1265444360281399,0.07445192098979814,0.056742661225519415,0.0,0.0,1.3691437802907915,1,46.4858,1.5207,5.749511833283905,1.122315592903828,0.16281206966343492,5.568842975206612,142.4347366560708,0.0,0.0919119005626946,7.2312894876033065,0.11055634807417976,1.1540807483548878,-0.34585268120499424,-0.3063105489773949,-0.16131660997732422,1.0632419161920557,0.18246983613200962,-0.04710880117605675,0.5276048973345235,0.6944444444444444,5.518342105263156,0.1099860845018464,-0.0901934095088989,1.274596577567387,0.0919119005626946,7.144844210526317,0.0919119005626946,6.006333333333335,1.1626899406623366,1.6741229253964427,-75.70524341423813,5.57946875,12.826735631700457,-0.3314536957089484,0.06223629506349206,0.5093738450555767,0.35963620819842246,12.13273413692322,0.030036035266505518,11.8203125,0.041411604522684574,2.4879431161855714
Result3950146,CP(CCC(SC1CCCCC1)P(C1CCCCC1)C1CCCCC1)C1CCCCC1,46.01,109.0638,0.1374,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"46.0105, 1.2666",0.15285281509040824,0.1243972321309733,0.06442562223749324,0.05199823768686698,0.09259259259259278,3.4490740740740735,1.4760842589662049,3,46.0105,1.2666,0.0,0.6578226711560046,0.16871794574719715,5.351618749999998,149.08649717671872,0.0,0.23995828200964953,7.054904443749999,0.16060381321491649,1.5711345170962079,-0.04509680675279331,-0.001979413109604564,-0.0008229117645387533,1.3916593170536236,0.24894547894534014,-0.024915326227788803,-0.0014171902374074678,0.7168841439304072,5.4831451428571425,0.16177041580727233,-0.036921349911144916,1.0792321779115213,0.5229626946800681,7.122733148571428,0.28300441267041854,5.900581395348837,1.4622714218237458,-1.1981290127563895,0.5104810137470932,5.470508896797153,12.826735631700457,-0.2621862336039513,0.07093617124356504,0.5581517334724759,0.26368586735423627,0.0,0.014469370138186449,13.181494661921707,-0.0259930990373849,5.064625366902772
Result3950138,c1ccc(P(CP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,39.747,93.9838,0.0642,O=C([O-])C.[K+],CCCCOC(C)=O,"39.7465, 2.0663",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,-0.18199074074074065,0.0,1.0555555555555556,2,39.7465,2.0663,0.0,2.586206896551724,0.13524954147716953,5.574432432432433,218.5631006053365,21.21815958495563,-0.40867766859830357,7.151974,0.13658911479074973,1.1833053360240817,-0.022522511102461555,-0.02473661344629089,-0.011497734529804514,1.192050710981669,0.23570226039551584,-0.02868492479413743,0.0019508999726497974,3.1919191919191916,5.665614285714286,0.13697471327365393,-0.1128977516275747,1.0305735177461683,-0.8173553371966067,7.2058272500000005,-0.4086776685983031,6.018980769230769,1.0632930218142123,7.445677803958862,62.91888667787599,5.6669090909090905,5.902998432009833,-0.3205646152207717,0.06376385365201001,0.4074460859730871,0.33780388806045863,0.0,0.012681382385227124,20.09090909090909,-0.051531965099392514,4.445756780212874
Result3950147,CP(C)C(c1ccccc1)P(C)c1ccccc1,38.113,102.3225,0.1355,O=C([O-])C.[K+],CCCC#N,"38.1135, 6.0702",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.3691437802907915,1,38.1135,6.0702,0.0,1.1602564102564101,0.16328285862565503,5.330624000000002,178.6099901326069,5.304539896238907,-0.126028806584362,7.010592143999999,0.16540353454415962,1.492060707381341,-0.013307917195033105,-0.15588159588159592,-0.07988392032713364,1.5021367521367517,0.11785113019775792,-0.0881697495186272,0.31735039035572865,1.2634920634920634,5.43569090909091,0.16609203508914863,-0.005943943031207892,1.0455194718513503,-0.10042936927857493,7.066733833333335,0.025599437305787065,5.9035769230769235,1.3420518687916125,3.0425986831306506,-40.01627851304675,5.623561904761903,19.994476812697606,-0.31697456506986477,0.0900329470335181,0.544998864782803,0.32099887572178853,0.0,0.021546458867524033,14.847619047619048,-0.04174199120295326,4.5559251620001495
Result3950118,COc1ccccc1C1CC2(CC[NH2+]C2)N1CP(C)C(C)C,33.514,92.5408,0.1005,O=C([O-])C.[K+],CCCC#N,"33.5145, 4.2034",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.3691437802907915,1,33.5145,4.2034,5.749511833283905,1.5192173305380852,0.10361613607847307,5.616223684210527,141.08907362259004,10.05365155780638,0.06467114932392737,7.234922671052631,0.14108485378935795,1.1057507579395705,-0.1374833999530344,-0.10610182666148464,-0.06325301204819277,1.0948132554312384,1.2380268740351952,-0.12146475886230279,0.43948869720822653,1.247657295850067,5.835289108910893,0.13988265242765904,-0.1734869262612005,1.0977613972208755,0.06467114932392737,7.414250633663367,0.06467114932392737,6.195342592592592,1.0743902599544113,2.8525067210676713,-12.950909489371025,5.612295783132529,33.14998076778971,-0.5290256273244631,0.03579352498909852,0.44645671030870915,0.4738119066217574,0.0,0.027313526869387553,12.168674698795181,0.046897261317654905,1.8954841047658377
Result3950114,c1ccc(P(c2ccccc2)c2ccccc2)cc1,22.341,106.0971,0.1247,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"22.3411, 0.5579",0.1574807960088896,0.1453627869996672,0.6819085487077534,0.6971767885426821,0.0,0.0,1.0624999999999998,2,22.3411,0.5579,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
