Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3m,base_GATS1se,base_GATS3Z,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952946,C=Cn1nnnc1Sc1ccccc1P(C)C,45.6146,103.8054,0.0696,O=C([O-])C.[K+],CC(N(C)C)=O,"45.6146, 0.4267",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,45.6146,0.4267,0.0,3.0089605734767026,0.13495480298621615,5.96640727272727,183.32829148994645,5.304539896238907,-0.13651287058033046,7.517974727272727,0.10972889498970496,0.5078288272339307,0.004732288914945908,-0.08742632612966601,-0.04944444444444444,0.4492616418852922,0.2974095083960289,-0.03659329138633506,0.5038965790596986,3.1759259259259256,5.990455102040816,0.1135200085166964,0.23842283268595144,0.9158104152692235,-0.13651287058033046,7.5569458775510245,-0.13651287058033046,6.430316129032261,0.5270509235298193,3.8514976546747475,7.390946502057613,6.064186666666667,13.329651208465071,-0.35531714693044203,0.06672023675697088,0.45110321569677125,0.3705508084428576,6.06636706846161,0.02156871820942679,19.266666666666666,0.019488301335256315,0.9640466967916557
Result3952943,Cc1nc(SC(C)C(C2CCCC2)P(c2ccccc2)C2CCCC2)c(-c2cccc3c2OC=CO3)s1,40.79,115.5592,0.1311,O=C([O-])C.[Cs+],CC(N(C)C)=O,"40.7900, 3.4580",0.15437109729761034,0.056742661225519415,0.1265444360281399,0.07445192098979814,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,40.79,3.458,17.55012087551082,2.712222222222222,0.0959360957066099,5.631159060402686,213.1757676873648,14.778265803839005,-0.23105224118692114,7.276357412751677,0.11047341670949688,0.831934251668153,-0.16237235608574088,-0.22615859185403928,-0.12621423384760985,0.831453853950931,0.7674455797432287,0.05531279709301452,0.2985788577604865,2.481159420289855,5.850864335664335,0.11312394396094494,-0.03496346681565953,0.9334400657204318,-0.23105224118692114,7.427545790209789,-0.23105224118692114,6.2076153846153845,0.8095943701540759,6.057878609437465,-77.66912468232292,5.937141739130434,0.0,-0.497619783120861,0.03823441526587818,0.40371781419490516,0.45292114441048476,17.828252017852726,0.0200956858532982,21.230434782608697,-0.2943183632464201,3.450592138152649
Result3952945,[S-]C(c1ccccc1)c1ccc(P(c2ccccc2)c2ccccc2)cc1,39.5687,90.7775,0.0720,O=C([O-])C.[K+],CCCCOC(C)=O,"39.5687, 0.9785",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,-0.18199074074074065,0.0,2,1.0555555555555556,39.5687,0.9785,0.0,3.3204365079365084,0.0868183748934129,5.599648387096773,227.5951211238731,15.913619688716722,-0.5659165593535083,7.179310556451613,0.06933034661636407,0.9986889946220725,-0.16145239443343862,-0.12062340561224488,-0.06115808704649809,0.849269070247023,0.2730017401615745,-0.012931073840378808,0.031212921390067982,3.599206349206349,5.783555555555556,0.07208814870137906,0.05081848526850015,0.999454379608771,-0.5659165593535083,7.300534814814808,-0.5659165593535083,6.0919500000000015,0.9088102660662633,7.466557508831482,-18.29545797495097,5.851540178571426,0.0,-0.798044482613601,0.03588140657146953,0.3599294377420737,0.338181746045651,18.19910120538483,0.01598939710659897,19.053571428571427,-0.025518291309393926,3.2799391651612906
Result3952941,S=C(CP(c1ccccc1)c1cncs1)c1c[nH+]cs1,39.3213,104.2301,0.1515,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"39.3213, 1.3532",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,39.3213,1.3532,4.877147193701299,3.2016460905349793,0.08670034930300266,5.7810500000000005,232.5292656045368,14.906754015429328,-0.4503806584362138,7.476177632352941,0.028091348193150255,1.01470184165866,0.07306821111056516,-0.01584507042253521,-0.007922535211267605,0.9549745448940046,0.30822255106243907,-0.11658462036121713,-0.037133716789018306,3.1236306729264474,5.923407407407408,0.035455873542465835,-0.31242308961360254,0.8682318591326782,-0.4503806584362138,7.542269351851853,-0.4503806584362138,6.296455882352941,0.9125833870425765,4.781873796837292,5.9936342592592595,5.9485,6.161910027467921,-0.3516923685963013,0.05238869064213318,0.4461957573853507,0.5611213061248812,23.41476569046091,0.01644384847362832,29.845070422535212,0.13982847404627471,4.0226604228795795
Result3952947,O=C(C1NC2(CCCCC2)C2(S1)c1ccccc1NC21CC=CN1)P(c1ccccc1)c1ccccc1,38.2137,115.5439,0.1269,O=C([O-])C.[Cs+],CC(N(C)C)=O,"38.2137, 4.2883",0.15437109729761034,0.056742661225519415,0.1265444360281399,0.07445192098979814,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,38.2137,4.2883,15.78375530155621,3.6390123456790127,0.13863918148672777,5.810903832752612,205.18478828215606,26.55944560449681,-1.1615747710263802,7.422167547038327,0.09625493195909492,0.8957344754038692,-0.10456691399446218,-0.19909716881855344,-0.1333169027921757,0.8435438486864949,1.6737399911154167,0.014371458848302088,0.18284589307973087,3.306451612903226,5.975122794117647,0.09862159063156867,0.05445834050007458,1.042028913660251,-1.1615747710263802,7.480484955882352,-1.1615747710263802,6.2603599999999995,0.8653594314217927,7.539206582415906,-110.54497836070334,6.109292338709677,5.316788604006331,-0.3767256189939983,0.05006346388715609,0.3628616096618858,0.3872316154077474,23.894619086314336,0.022551706583629927,19.633064516129032,-0.06047256065564646,5.32975623945805
Result3952951,CC(=NCC(NC(C(C)C)C(C)C)c1ccccc1)P(C1CCCCC1)C1CCCCC1,38.1726,98.1359,0.1375,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"38.1726, 1.3352",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,38.1726,1.3352,0.0,1.2677735206470837,0.10176645902922145,5.472239130434783,145.66618889450524,5.316788604006331,-0.08076965697115579,7.126439695652174,0.11173173707488179,1.1832510418223814,0.012803250939394589,-0.027073078379401726,-0.012700950350830438,1.1501524278527417,0.17677669529663687,-0.07638410961149393,0.28254791675465313,1.246203037569944,5.642463749999999,0.10993851990473437,0.06417683714793344,1.2133659870465474,-0.08076965697115579,7.2226369,-0.08076965697115579,6.015626506024096,1.1806274999485429,2.8127478853055106,2.0302159600030856,5.642476978417267,6.544756405912575,-0.40935816476555,0.03136010745795228,0.442760779339753,0.32583198403964936,0.0,0.021968103493322982,11.183453237410072,-0.06595581189301533,2.1200048980029362
Result3952940,Cc1ccccc1P(CP(c1ccccc1)c1ccccc1)C(C)C,35.8904,104.3777,0.0784,O=C([O-])C.[Cs+],CCCCOC(C)=O,"35.8904, 5.2383",0.15437109729761034,0.056742661225519415,0.1265444360281399,0.07445192098979814,-0.18199074074074065,0.0,2,1.0555555555555556,35.8904,5.2383,0.0,1.736318407960199,0.15037921681418917,5.47940350877193,188.03771365744893,15.913619688716722,-0.3298943898547073,7.09729409356725,0.15079699138041475,1.3214662807567816,-0.089559054094957,-0.10790171367094446,-0.056087319063097614,1.3299312093164506,0.2492969859635601,-0.058795933121293685,0.19413531535593936,1.971139971139971,5.552817777777777,0.15067348213322304,-0.040800188907747344,1.0788981512473648,-0.5232942806752328,7.139281833333334,-0.19339989082052544,5.960745283018868,1.2032887174137368,5.519996194393807,23.245038707809417,5.575477272727273,5.902998432009833,-0.32886670174556726,0.07141112389455329,0.4439941651002636,0.33054717989993265,0.0,0.020300390577065775,16.545454545454547,-0.026124126852803794,4.300115011838691
Result3952950,CP(c1ncc(C2(O)CCCC[NH2+]C2)o1)C(c1cscn1)C([SiH3])S,34.3236,91.4833,0.0788,O=C([O-])C.[K+],CCCC#N,"34.3236, 2.9862",0.1574807960088896,0.6971767885426821,0.1453627869996672,0.6819085487077534,0.0,0.0,1,1.3691437802907915,34.3236,2.9862,6.544756405912575,2.0904280904280905,-0.11632375772685698,5.798529914529914,167.14424494419785,10.948600930574152,-0.6549524964306708,7.511968478632477,-0.07618139286166428,1.0009140433622175,0.012909403914957068,-0.0009195402298850541,-0.0005629838142153392,1.0414881646786625,0.44232972597903497,-0.04830304897314562,0.40563490871779473,1.7800766283524903,5.945210752688173,-0.06670209724805297,-0.030100529416597167,1.2965174582915489,-0.6549524964306708,7.540105032258063,-0.6549524964306708,6.261343137254903,0.9463131054154793,3.157463709297156,-84.45880574452002,5.948866896551725,19.754338416057685,-0.5088241157787164,-0.09743585102043059,0.49845580268027656,0.4823411800761059,5.51053927361738,0.027564906787764392,21.013793103448275,0.04434475429071009,-5.317891406923417
Result3952942,CC(NC(Nc1cccc2sc(C(C)(C)C)nc12)P(c1ccccc1)C(C)C)C(O)O,33.4823,100.5443,0.0700,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"33.4823, 5.8638",0.1556534312908589,0.5051641116163132,0.1428941881283608,0.476153268219384,0.0,0.0,2,1.0624999999999998,33.4823,5.8638,11.4235647342927,2.13631156930126,0.15200266657078068,5.763125358851675,179.14648942031627,15.93811710425157,-0.6991346520604125,7.350773976076555,0.08290737655299281,1.0572605860972706,-0.042231954695642476,-0.1292248492542051,-0.08380499099562648,1.0509568334310404,0.575362820973685,-0.1320338651800738,0.2896930602711924,2.3490338164251203,5.932500847457628,0.08501632912679255,-0.15748800656721468,1.1265905208617077,-0.6991346520604125,7.4927758983050845,-0.6991346520604125,6.281037313432835,1.0316901390950743,5.509907532569942,-96.22018847249619,5.985552173913043,5.316788604006331,-0.3641753459252648,0.05585729062708785,0.39377212306620235,0.39781009625214253,6.06636706846161,0.03541314826657407,16.96195652173913,0.13937239627411324,3.788796030838668
Result3952948,CP(O)C#Cc1ccccc1O,31.1806,115.3223,0.1511,O=C([O-])C(C)(C)C.[Cs+],CCCC#N,"31.1806, 1.8437",0.15285281509040824,0.05199823768686698,0.1243972321309733,0.06442562223749324,0.0,0.0,1,1.3691437802907915,31.1806,1.8437,5.749511833283905,3.189964157706093,0.08922364953718356,6.240272727272727,208.40612558101185,0.0,-1.2087524145460653,7.834690090909092,0.11885098743267503,1.2093369593369596,-0.48297660951650156,-0.4737762237762238,-0.25139146567718,1.1570329343099286,0.1422588984322123,-0.08298770832329681,0.0984767299448867,2.7323232323232323,5.961225806451613,0.11790029056700821,-0.06985879707433129,1.1837726922545089,-1.2087524145460653,7.507628580645164,-1.2087524145460653,6.376219047619047,1.1659073828037343,2.6789695408603356,-24.242182469695702,6.052277272727272,6.664825604232536,-0.37713198890373395,0.04552348114285732,0.43028485389078464,0.38356542005626,0.0,0.02515302163461931,26.545454545454547,0.03222319123721828,6.001961143316046
