Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS3Z,base_GATS3m,base_GATS2pe,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3941693,Cc1ccccc1P(CN(CN)Cc1ccc(-c2ccccc2)cc1)c1ccccc1C,29.509,111.5169,0.0921,O=C([O-])C(C)(C)C.[K+],CCCC#N,"29.5093, 0.8934",0.1428941881283608,0.476153268219384,0.5051641116163132,0.1556534312908589,0.0,0.0,1,1.3691437802907915,29.5093,0.8934,0.0,2.469135802469136,0.11853689631943692,5.672648241206031,179.67323948289823,16.34274726964,-0.5303722613647257,7.25514984924623,0.10100191542655061,1.1466691645355962,-0.035572469944591546,-0.11654762279349296,-0.06119557719869976,1.2101861181237015,0.42885536416183107,-0.09767032819615927,0.21800548365874342,2.553734061930783,5.833514414414415,0.10039277164401587,-0.21997746990764347,0.9712920609325565,-0.5303722613647257,7.350267225225221,-0.5303722613647257,6.1499621212121225,1.0797508193310097,8.505480065318734,-10.09133749521756,5.775040983606558,12.954535999353629,-0.35146796994290164,0.03977098738954038,0.3610731545601763,0.3450363436132989,0.0,0.018937975599458774,14.655737704918034,-0.028497282483927844,3.4224639272960515
Result3941687,C=C(c1ccccc1)P(c1ccccc1)c1ccccc1,29.397,107.7680,0.0846,O=C([O-])C.[K+],CC(N(C)C)=O,"29.3972, 0.0044",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,29.3972,0.0044,0.0,3.3650793650793647,0.11896152332890447,5.603509433962263,222.72639604530173,10.609079792477814,-0.5828189300411526,7.171415773584906,0.11807909604519776,1.065855389424569,-0.15174882069002188,-0.21162808822383297,-0.10332257769930901,1.0723346178548494,0.17677669529663687,-0.01620080776303773,0.0359008707300736,3.5128205128205123,5.741904761904762,0.1173980133612815,-0.08356419893840415,1.0732616894715015,-0.5828189300411526,7.252257333333334,-0.5828189300411526,6.054337500000001,0.9816786909774727,6.156373254999035,-12.459526008002467,5.813945054945053,0.0,-0.3250060780352755,0.04681732267871763,0.36295936425704173,0.3374327089337817,6.06636706846161,0.014859057955569462,17.64835164835165,-0.03995296863780572,3.457823086167351
Result3941694,CN(C)c1cccc(CN(C)c2ccc(C=Nc3ccccc3P(C)C)cc2)c1,29.393,100.5569,0.0833,O=C([O-])C.[K+],CCCC#N,"29.3931, 0.6778",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.0,0.0,1,1.3691437802907915,29.3931,0.6778,0.0,2.065817409766454,0.051155998683132864,5.557467375886526,158.3757034276908,15.104359357939863,-0.16516775611085976,7.167274808510638,0.12248285487873667,0.9789429780709797,-0.019087567973899777,-0.026307189542483678,-0.014510141890712053,1.0165631565603022,0.32111426259404335,-0.250786608306395,0.4215744712649545,1.9949164851125636,5.882330097087379,0.12013731167958844,0.13897482337079478,1.1105168372172487,-0.16516775611085976,7.411705126213588,-0.16516775611085976,6.182286885245903,0.9388475454854608,7.310798373786427,-41.06354070243757,5.739768627450981,44.2724866181976,-0.44539168079762087,0.01726366429482851,0.38881622600751753,0.3571601051126685,6.2146005795353165,0.02540182126198445,12.215686274509803,-0.16650556271202144,-0.20137541589404406
Result3941692,CNC(P)P(c1cc(C)cc(C)c1)c1cccc2c(C)cccc12,29.213,108.3448,0.1172,O=C([O-])C.[K+],CC(N(C)C)=O,"29.2135, 0.1565",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,29.2135,0.1565,0.0,2.388471177944862,0.00015767746910259377,5.517735849056604,194.81046408999796,15.925868396484145,-0.5049279835390943,7.140457811320756,-0.005909713388569877,1.151011998918417,-0.04616108374592547,-0.18309859154929575,-0.11210117849956884,1.1937029940228572,0.45748403036054636,-0.018882446270071695,0.37127506369779556,2.3607198748043814,5.683816091954024,-0.003674078917958446,-0.10476832197620166,1.18892145618283,-0.5049279835390943,7.245644379310344,-0.5049279835390943,6.0320784313725495,1.0804916957825632,5.368994891215591,-26.437137818090196,5.724676056338028,7.04767198267719,-0.3601516538560235,7.572367813439508e-05,0.3990383565237552,0.35761764060903073,7.04767198267719,0.027707271221898016,17.683098591549296,-0.010550707032082314,2.2753607912595726
Result3941695,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,29.168,110.5469,0.1032,O=C([O-])C.[Cs+],CC(N(C)C)=O,"29.1677, 0.0031",0.1265444360281399,0.07445192098979814,0.056742661225519415,0.15437109729761034,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,29.1677,0.0031,0.0,1.8080808080808082,0.11731533900492506,5.55798275862069,188.35671779556262,5.304539896238907,-0.11994260495693476,7.1460188908046005,0.1146578436191909,1.2917702038526977,-0.22231418080258047,-0.30012679724625324,-0.16171732782379036,1.294989453996901,0.34237623488261243,0.046406144027325055,0.44261876669151384,1.7267373380447588,5.572630303030304,0.11317953522332112,-0.1816056662228054,1.330761222797097,-0.11994260495693476,7.152842933333332,-0.11994260495693476,5.961959302325582,1.2497381189516856,3.5471629113672627,-121.49602246558752,5.688835689045936,0.0,-0.35057205560808136,0.037199130005987444,0.4301401275697142,0.3412050848262929,0.0,0.02583222674304045,14.537102473498233,-0.010862680971915839,3.4973288549655974
Result3941696,CC(C)c1cc(-c2ccccc2)c(P(c2ccccc2)C2CCCCC2C)c(C(C)C)c1,28.662,102.9231,0.1018,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"28.6620, 0.1411",0.1243972321309733,0.06442562223749324,0.05199823768686698,0.15285281509040824,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,28.662,0.1411,0.0,2.3261316872427984,0.11665208884068924,5.6528478260869575,202.675386785655,10.609079792477814,-0.4377078609221463,7.201029137681156,0.11428456688486412,1.1885987271274876,-0.1940576964199083,-0.2608876004114418,-0.14573685434608621,1.1923433911210397,0.3775970457834769,0.04505253879218455,0.3769093051217406,2.5086206896551726,5.623274074074076,0.11293834334427287,-0.2589929927140278,1.0487214780101473,-0.4377078609221463,7.1823165629629635,-0.4377078609221463,5.994912162162162,1.1404508111092873,5.5571148740153795,-32.81422704195966,5.704122844827587,0.0,-0.34542794244762604,0.03883697215440412,0.3987496208161526,0.345178048128795,0.0,0.024655603493322926,16.09051724137931,-0.025629350753804896,3.5695121032350183
Result3941697,COc1cc(C(C)C)cc(C(C)C)c1OC(=O)c1cc(C(F)(F)F)ccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1C,28.643,91.4501,0.1037,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"28.6426, 0.1518",0.1428941881283608,0.476153268219384,0.5051641116163132,0.1556534312908589,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,28.6426,0.1518,0.0,5.918879056047197,0.07136190824993154,6.939726235741444,224.20555878133243,25.38734559631682,-2.51425946182104,8.311047376425856,0.04618395303326815,0.5273498185541073,-0.16647463582733088,-0.19140230207748446,-0.15986657756205075,0.5549085936393879,0.4940765086213228,-0.06906808952386179,0.30434405465768644,6.349477682811016,6.87095890410959,0.04376198297026199,-0.16294812834947003,0.9006204381513307,-2.51425946182104,8.198443424657535,-2.51425946182104,6.655499999999999,0.5156041420969333,11.088116053850769,-87.5064438009111,6.601909401709403,7.109797541277533,-0.5244602038839421,0.023681129388188737,0.3130179425477192,0.5151986758799002,13.847474399381248,0.043488345104441294,25.094017094017094,-0.04836335956641257,1.3710482762043594
Result3941689,CC(C)c1cc(O)cc(C(C)C)c1-c1cccc(C(C)C)c1P(c1ccccc1)C1C(C)CC(O)CC1[O-],28.642,101.4372,0.1136,O=C([O-])C.[K+],CC(N(C)C)=O,"28.6416, 0.6615",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,28.6416,0.6615,5.749511833283905,3.002145002145002,0.14249346644280106,5.783789173789173,206.71936516227453,15.71560718731852,-1.0215504010246075,7.3492672307692315,0.07619829709988331,0.8864852968016919,-0.16704940972996754,-0.1818484759384496,-0.11618397570368522,0.8379204128087816,0.527298977338776,0.06659786861431183,0.3258092115349425,2.8752436647173485,5.768722580645162,0.07694395146428128,-0.16808866005235082,1.0444753334491617,-1.0215504010246075,7.320565858064516,-1.0215504010246075,6.1342705882352915,0.9014660363881646,6.343350774248364,-164.22278772923232,5.939465263157895,0.0,-0.8677313399829634,0.04505002623100221,0.3800682738260229,0.37119127088563336,18.19910120538483,0.03295784346255661,17.48421052631579,0.0417948737050364,4.065602098744167
Result3941698,CP(C)CP(C)c1cccnc1-c1cc(P(CO)CP(c2ccccc2)c2ccccc2)ccc1O,28.136,92.4805,0.1058,O=C([O-])C.[K+],CC(N(C)C)=O,"28.1363, 1.1743",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,28.1363,1.1743,5.749511833283905,2.5473684210526315,0.18403247598826206,5.686469333333333,205.22584177603107,21.21815958495563,-0.8440258618879646,7.291917657777777,0.1312390870863425,1.080089826000177,-0.04723418108840479,-0.10832442756770279,-0.06033950470689935,1.015206335496875,0.3606849769385113,-0.12629224940815975,0.23838486275169202,2.666666666666667,5.637618333333334,0.13431170369186526,0.037365857575538605,0.9625651838200322,-1.8417049926425682,7.242101166666666,-0.015211190380727269,6.092576388888888,1.049787165812402,7.049284400112938,-41.45953360768177,5.8401326633165835,38.1484440457721,-0.37798209054965487,0.10506566907843727,0.4996923987701504,0.386303748891763,18.329577708536295,0.02179577817046572,20.85929648241206,-0.07275986704995563,6.00997403208951
Result3941688,CC(C)Oc1cc([N-]c2ccc([PH](C)=O)cc2)cc(P(c2ccccc2)C2CCCCC2)c1,28.097,91.9927,0.0910,O=C([O-])C.[K+],CCCC#N,"28.0975, 1.6051",0.1453627869996672,0.6819085487077534,0.6971767885426821,0.1574807960088896,0.0,0.0,1,1.3691437802907915,28.0975,1.6051,13.55051346919387,2.882391163092917,0.037421929430269146,5.713911330049261,195.1582933238171,20.65048264251677,-0.4920954950414227,7.298581290640393,0.1271043329079997,0.8723714240445141,-0.01804125820916235,-0.013515648230746306,-0.00732235609204166,0.8024567309143938,0.3603979726599627,0.07290288299356024,0.2705027181026563,3.070935342121783,5.819503999999999,0.12502769896597954,0.01878897286041546,0.9661936370779988,-0.4920954950414227,7.37564368,-0.4920954950414227,6.107387142857142,0.84331110488474,6.6708949350526385,-1.854310536867899,5.854912994350282,6.664825604232536,-0.6977477966582079,0.015624081043936882,0.42394398116592213,0.3722166695812539,30.33183534230805,0.02324272496762796,16.316384180790962,0.07883232958856835,2.3549062529623703
