Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS1se,base_GATS3m,base_GATS2pe,solvent_NsCH3,solvent_VSA_EState9,solvent_SdssC,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3922379,C1=CC2([N-]C(P(c3ccccc3)c3ccccc3)=C1)c1ccccc1-c1ccccc12,47.668,115.9376,0.1303,O=C([O-])C.[K+],CC(N(C)C)=O,"47.6675, 0.3460",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,47.6675,0.346,0.0,5.086048454469507,0.10135053267637906,5.704675,238.00087085071823,10.609079792477814,-0.7465142878138913,7.251177824999999,0.1081828534244346,0.8327684862224217,-0.1015597233420965,-0.16033057851239674,-0.09457369553523401,0.8214074811481867,1.0006455245329102,0.0042822510029535575,0.14698816164411393,4.5508935508935515,5.9178106382978735,0.10773692231738036,0.023999782927206025,1.179287196758327,-0.7465142878138913,7.375414595744679,-0.7465142878138913,6.169210526315791,0.7937278953734347,8.765698264904321,-92.55246913580245,6.012695804195804,0.0,-0.7033937617410873,0.034800839381501275,0.3302998374859761,0.3457526844679807,0.0,0.018170116366396465,20.48951048951049,0.03981487395282517,3.5338871463946866
Result3922357,CC(=NCCC(C)C)c1cccc(P(C)c2ccc(C)c(C)c2)c1,42.96,105.3220,0.1003,O=C([O-])C.[K+],CCCC#N,"42.9603, 3.0092",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,1,0.0,0.0,1.3691437802907915,42.9603,3.0092,0.0,1.511574074074074,0.10607437022023757,5.50870588235294,142.75673482381941,10.609079792477814,-0.31852761389192175,7.1248351764705875,0.11718256475047376,1.0751136219085307,-0.10180375487571185,-0.02748642541566896,-0.015006306331188261,1.0112163677137667,0.27159151841881124,-0.0579151594156583,0.44728331794089315,1.4422073079791202,5.621432989690723,0.11526103923253306,-0.14486344095933518,1.0853880757577852,-0.31852761389192175,7.200871092783506,-0.31852761389192175,6.011045454545456,1.0662871904050182,4.580268059090592,2.421920777659233,5.52079932885906,13.20958201014511,-0.4107254168405198,0.03751714603793557,0.42381864169472727,0.33485762884869313,0.0,0.029428987885974044,11.476510067114093,-0.007422985166545575,1.6826710836813525
Result3922373,C1=CC[N-]C(P(C2=Cc3ccccc3C2)c2ccccc2)=C1,42.183,117.6873,0.1343,O=C([O-])C.[K+],CCCC#N,"42.1829, 1.9650",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,1,0.0,0.0,1.3691437802907915,42.1829,1.965,0.0,3.6704119850187267,0.11337704306744327,5.69607,217.77839012570516,5.304539896238907,-0.5171039094650205,7.245226880000001,0.12192536047497889,0.882484905555863,-0.12398925919215958,-0.15567010309278337,-0.07942143326758709,0.8566483546296496,0.5227572777347194,-0.06251397847445726,0.08453326473644061,3.981481481481482,5.844460000000001,0.12156127003238489,-0.033685362609802066,1.0349256815910552,-0.5171039094650205,7.341679600000001,-0.5171039094650205,6.135178571428572,0.8431027575739489,5.531780766140094,-10.526042808094099,5.9128777777777755,6.544756405912575,-0.7160259907187614,0.04356001493150012,0.3556536589356262,0.33337483106964017,0.0,0.015563514745506017,18.644444444444446,-0.004488614752219414,3.5077033355616
Result3922371,Cc1cccc(CP(c2ccccc2)c2ccc(O)cc2)c1,41.833,115.5676,0.1044,O=C([O-])C.[K+],CC(N(C)C)=O,"41.8326, 0.6195",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,41.8326,0.6195,5.749511833283905,2.4277777777777776,0.15603847539228427,5.586346153846154,196.74005267524356,10.609079792477814,-0.4630452674897123,7.178635846153844,0.09677541996163028,1.006892285320326,0.010206672300647698,0.0032278217409413058,0.0016935983197562353,0.9800814401221125,0.3326303192968934,-0.14042330377529832,0.12871254015441402,3.010204081632653,5.770342857142857,0.0976836958240064,-0.11680769286124268,0.9457625094749085,-0.4630452674897123,7.296963685714288,-0.4630452674897123,6.142406976744187,0.9804433454326734,5.986134153519322,24.27766394195107,5.7108020408163265,0.0,-0.3271943544074548,0.06029136850751872,0.3717042618961848,0.3634117862749001,12.13273413692322,0.020539403261855448,16.612244897959183,0.032251482101672495,4.626637525159233
Result3922360,[c-]1ccccc1P(c1ccccc1)C1CCCCC1,35.043,102.5796,0.0974,O=C([O-])C.[K+],CCCC#N,"35.0429, 0.8894",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,1,0.0,0.0,1.3691437802907915,35.0429,0.8894,0.0,2.267115600448934,0.13753632298011437,5.554642857142857,196.47958298207774,10.609079792477814,-0.22459876543209845,7.144098,0.13646187094782342,1.186119086524963,-0.2405889861611334,-0.25792316926770714,-0.11531081860752189,1.1922498571471538,0.17677669529663687,0.04106715048199752,0.14009601490864404,2.510204081632653,5.628520547945207,0.13566619464643803,-0.12533144757080547,0.999878359836362,-0.22459876543209845,7.1863624109589015,-0.22459876543209845,5.999963414634148,1.1049066017980216,3.7396756543850405,-33.65162620433275,5.725173469387754,0.0,-0.46625653466014577,0.054894576634101494,0.41018564101352356,0.31094948185923793,0.0,0.011722306294206161,14.73469387755102,0.06698709360343555,4.2407717622728995
Result3922374,CC(C)(C)c1cccc(OCc2cccc(-c3cccc(CP(C(C)(C)C)C(C)(C)C)c3)c2)c1,34.906,100.5503,0.0756,O=C([O-])C.[K+],CC(N(C)C)=O,"34.9063, 2.7856",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,34.9063,2.7856,12.356393797796823,1.5033416875522139,0.08853541242563398,5.461105882352941,148.8399083726443,4.736862953800049,-0.1693392594683354,7.136933584313721,0.10544772935210175,1.0054833697298882,0.10616843697085669,0.054813689994204634,0.03648082656723419,0.9458335449986139,0.3146684068282412,-0.3772779785529176,0.42702534755283006,1.5135015493581232,5.666366197183102,0.10357252829426576,0.04353912468422221,0.8998885110925753,-0.1693392594683354,7.243049281690141,-0.1693392594683354,6.039303797468356,1.009164875539827,5.750892206413132,7.460702677152884,5.619344621513942,0.0,-0.5199631195675728,0.028644168014346036,0.387620326686151,0.36919057782850834,6.06636706846161,0.04237888758333866,11.08366533864542,0.001395727412753834,1.9832236108568855
Result3922370,C1=C(P(C2CCCCC2)C2CSCN2)CCCC1,32.623,105.3427,0.1206,O=C([O-])C.[K+],CCCC#N,"32.6230, 2.8421",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,1,0.0,0.0,1.3691437802907915,32.623,2.8421,0.0,1.175111111111111,0.162216896275966,5.470493670886076,161.5559115323899,5.316788604006331,0.13104938271604982,7.165688556962025,0.1416751229412224,1.319036533380723,-0.16534032892596703,-0.2468380252957976,-0.1065891472868217,1.20171217962359,0.21407617506269555,-0.043116887523373705,0.048114349071798845,1.0387596899224807,5.61679120879121,0.1445980939102187,-0.022471737031100752,1.1961036140944656,0.13104938271604982,7.250735824175821,0.13104938271604982,6.019260869565218,1.2466870913835062,0.26317971188744593,-39.3498367513519,5.706186046511627,11.629641996480146,-0.30296815407889727,0.07128097712086615,0.5184757375766703,0.27984904756217766,5.314192934611179,0.012373545532773169,13.844961240310077,-0.022967454358662546,5.298656940739119
Result3922361,CCc1ccc([O-])c(CC)c1P(CC(C)C)c1ccc(C)cc1C,26.563,106.8996,0.1189,O=C([O-])C.[K+],CCCC#N,"26.5634, 0.8375",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,1,0.0,0.0,1.3691437802907915,26.5634,0.8375,0.0,2.073079791200597,0.12236124887868796,5.598256157635468,191.77155880727102,15.71560718731852,-0.4929938271604939,7.20954618719212,0.10896037874966044,0.8011652409371307,-0.11090707208028441,-0.322220588235294,-0.18785150891632363,0.6279245831833876,0.34156446419624703,0.052930732355061454,0.43844207761922444,2.115972222222222,5.600545454545457,0.10774078475971091,-0.3063974356666666,1.1959469591923093,-0.4929938271604939,7.188702848484848,-0.4929938271604939,6.006872727272728,0.8489512500657436,4.072243877675403,-85.37736456163528,5.8228937499999995,6.161910027467921,-0.8887636781699468,0.04352696951318185,0.42249171870773217,0.3221040084613254,0.0,0.029281906225551647,14.93125,0.0627751989631334,2.4467850587153928
Result3922359,CC(O)(c1ccccc1)P(c1ncccc1[CH-]C1(O)C=Cc2ccccc2C1)C1CCCCC1,24.796,96.6819,0.0997,O=C([O-])C.[K+],CC(N(C)C)=O,"24.7961, 0.9604",0.6819085487077534,0.1453627869996672,0.6971767885426821,0.1574807960088896,3,3.4490740740740735,0.09259259259259278,1.4760842589662049,24.7961,0.9604,5.3421392155256004,3.11056105610561,0.15078070275952887,5.812302904564316,188.58046367955941,5.435016399390373,-1.0381246617302609,7.397889045643153,0.08563770948985,0.9524527150840881,-0.109480045767289,-0.09382782583081165,-0.05835760519483764,0.9492075442485338,0.5187713842348465,-0.05693036986681472,0.22160013813981486,3.131879543094496,5.868890476190476,0.08682822807900549,-0.007038110678533834,1.0204912173690606,-1.0381246617302609,7.388472365079364,-1.0381246617302609,6.203169014084507,0.9403787175637977,6.800127461984182,-49.52866403196839,5.996367757009346,0.0,-0.4645543663944046,0.04992300406570124,0.3598136677986777,0.3379179390148095,86.29074622405197,0.025945252734347758,16.906542056074766,0.17365325213225125,4.756254409695846
Result3922362,Cc1ccccc1-c1cc(CP(c2ccccc2)c2ccccc2)cc(C(C)C)c1,21.007,111.8145,0.1162,O=C([O-])C(C)(C)C.[K+],CC1=CC=C(C)C=C1,"21.0073, 0.5393",0.476153268219384,0.1428941881283608,0.5051641116163132,0.1556534312908589,2,0.0,0.0,1.0624999999999998,21.0073,0.5393,0.0,2.5081387119603678,0.11286058996686972,5.568829545454546,195.14774598914258,10.609079792477814,-0.4477734094323602,7.150911749999998,0.11096827479634729,1.0755194288796062,-0.07797260090846304,-0.07824915824915818,-0.04248517928494943,1.0800051203277012,0.3759769285278675,-0.07353931938529919,0.28556993052363,2.7003367003367003,5.687752380952382,0.10984602850729894,-0.03571469626530995,1.072002714245855,-0.4477734094323602,7.2192412,-0.4477734094323602,6.040620967741936,1.0185736612579084,7.590839094775159,-21.78189891509819,5.7055727272727275,0.0,-0.3423996609422045,0.039309803862599885,0.37024307363400455,0.34483716987423335,0.0,0.021467334054782305,15.363636363636363,-0.03050206469638431,3.4931238150944584
