Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS1se,base_GATS3m,solvent_GATS4se,solvent_VSA_EState9,solvent_SdssC,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3952102,CCP(NC(=O)NC(C)c1cncc(=O)n1Cc1ccccc1)c1ccccc1,29.5609,115.5748,0.0863,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"29.5609, 1.1219",0.15285281509040824,0.06442562223749324,0.1243972321309733,0.05199823768686698,1.4760842589662049,3.4490740740740735,0.09259259259259278,3,29.5609,1.1219,0.0,3.5288220551378444,0.026337542276100502,6.085211971830985,169.8854545718079,21.267890458374396,-0.7923022739390286,7.665109323943661,0.10949060899260102,0.8258702180630824,-0.031041517956202264,-0.04181781941399243,-0.022328650489570025,0.7789263707257215,0.2865319629899475,-0.01923595438863824,0.25097572819823055,3.4536398467432945,6.115381914893617,0.10771323278764362,-0.07878540459378947,1.1110757551948012,-0.7923022739390286,7.60130293617021,-0.7923022739390286,6.3721000000000005,0.7927162814792916,7.323724279040935,-34.754238005724055,6.192484827586205,6.161910027467921,-0.4346439498840273,0.008863137391248239,0.3578222484006448,0.4634605587354871,67.58740788430673,0.020430857388073046,16.372413793103448,0.2651687411765568,0.6952124670293328
Result3952095,CCCC1CN(c2nc[nH+]c(-c3cc(C)no3)c2CP(C(C)C)C(C)(C)C)CCO1,29.4324,110.6384,0.1190,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"29.4324, 0.0963",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,1.0624999999999998,0.0,0.0,2,29.4324,0.0963,0.0,2.082675092153765,0.0475084730675399,5.731745901639344,154.079691190955,9.883888251797686,-0.2717563081474017,7.34968968852459,0.1308096806230724,0.823674479555858,0.12530088680113388,0.10547710740265298,0.06359649122807018,0.8212216214447958,0.38915564433802047,-0.14593532332674536,0.4959916009922358,2.23635477582846,5.926729230769231,0.1281114476113944,0.15301508891756016,1.0346321750285006,-0.2717563081474017,7.490363846153846,-0.2717563081474017,6.290622857142857,0.8204480918722059,4.245383015607416,65.1628219915417,5.8374578947368425,24.59630450718855,-0.4558038247649415,0.014778656132043697,0.40149584155733115,0.5596048401101608,12.990104268152233,0.03234954654419905,13.855263157894736,0.030050010959137577,-0.5671701486952263
Result3952093,CN1CC([S-])[NH2+]CC1CP(c1ccccc1[O-])c1ccccc1F,29.2659,106.1506,0.1159,O=C([O-])C.[Cs+],CCCCOC(C)=O,"29.2659, 0.4841",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,1.0555555555555556,0.0,-0.18199074074074065,2,29.2659,0.4841,5.817220841045895,2.874779541446208,0.10293272940208968,6.158068852459017,173.63033782105305,21.032395791324852,-1.0394686948853613,7.676583926229506,0.06008259255530264,0.6913128988671574,-0.07941449730332664,0.026678074200824447,0.015756531725523968,0.6594135220638623,0.44708699745202746,-0.044186074920134044,0.19077385509606276,3.3893195521102495,6.063259523809525,0.06272712503907682,-0.09366538821680388,0.8154737525458959,-1.0394686948853613,7.588663690476187,-1.0394686948853613,6.351425531914895,0.6833067870981795,5.095032109906402,91.54452674897121,5.949693798449611,26.29909482197026,-0.8884282168152013,0.04422206378791511,0.3897029299910098,0.44050397732147256,24.26546827384644,0.025569288096220572,16.45736434108527,0.1535614265977723,2.786898530996638
Result3952103,OCP1CNCPCNC1N(C#Cc1ccccc1)C=Cc1ccccc1,29.1431,96.8416,0.1164,O=C([O-])C.[Cs+],CC(N(C)C)=O,"29.1431, 0.1786",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,1.4760842589662049,3.4490740740740735,0.09259259259259278,3,29.1431,0.1786,5.9068640166764395,2.83228166438043,0.08464870965516215,5.808983870967743,175.15670897769084,10.633577208012662,-0.6669203806351072,7.4084685322580635,0.04702422925451033,1.1062479979578703,0.06995676501510674,0.016335638136690422,0.007074346249284204,1.1208145722345748,0.14433756729740643,-0.19268618773081786,0.15501489007897123,2.9229390681003586,5.929887777777779,0.04945465730474192,0.034444090728033616,1.115160903478988,-0.6669203806351072,7.4801786666666645,-0.6669203806351072,6.269824074074075,1.0567316991203723,5.734295432573804,-8.159434582511501,5.951463709677419,25.20550480041829,-0.4008113032913482,0.038637861760390996,0.41869748039696536,0.3564247828724707,59.6308011683638,0.011396626645088424,16.89516129032258,0.002256313370919266,2.5790803115865626
Result3952092,CCN(Cc1cc[nH+]cc1)c1ccc(CN(C(C)N2CCCC(C)C2)C(C)P(c2ccccc2)c2ccccc2)nc1,29.0943,93.6933,0.1252,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"29.0943, 1.2405",0.15285281509040824,0.06442562223749324,0.1243972321309733,0.05199823768686698,1.4760842589662049,3.4490740740740735,0.09259259259259278,3,29.0943,1.2405,0.0,2.1718684977111944,0.03866101762041057,5.657070919881305,165.75380935679235,20.4929680442755,-0.5991096244610981,7.251398967359047,0.11650758496401409,1.0171233481854771,-0.04154247678489908,-0.02975680842345596,-0.015349869867218922,1.0715881645146774,0.42850385714361106,0.050634665232499515,0.298888474257171,2.1715526601520088,5.934819879518073,0.1142662386334997,-0.08044777321607488,1.094657581249359,-0.5991096244610981,7.449260457831323,-0.5991096244610981,6.208091397849459,0.9769230109220622,9.404424760831565,3.298906953075201,5.778812052117264,24.534178948588206,-0.43062473492378217,0.011657578227721493,0.3711207812145761,0.5273522405303044,12.393687143226153,0.019404883844546264,13.798045602605864,0.10051442633568045,0.4097072087165023
Result3952105,C=C(c1ccccc1)c1cc(C)c(SCc2cnoc2-c2ccc(P(C(C)C)C(C)(C)C)cc2)c(C)c1,29.0861,90.2593,0.0924,O=C([O-])C(C)(C)C.[Cs+],CCCCOC(C)=O,"29.0861, 0.3470",0.15285281509040824,0.06442562223749324,0.1243972321309733,0.05199823768686698,1.0555555555555556,0.0,-0.18199074074074065,2,29.0861,0.347,0.0,2.1076076076076076,0.10669008900623618,5.351866906474818,174.38752964643928,5.304539896238907,-0.2567953027804697,7.054998417266189,0.10947524463741823,0.7437294463916315,0.2547430940470403,0.09051869255950888,0.05835036075036075,0.6461909675624514,0.5408835784921117,-0.18114906257859575,0.447675016781098,1.995189995189995,5.7262370370370395,0.1091969037890416,-0.006318771529119535,1.1824352217270104,-0.2567953027804697,7.29719608888889,-0.2567953027804697,6.13016794871795,0.7752317984008898,7.728471622207781,-33.952447736625516,5.793424242424244,0.0,-0.46063752888499143,0.03846540661646463,0.381919157903612,0.3957946782181494,24.025095589465803,0.03244984726133519,13.476190476190476,-0.04578033946069268,2.6906674928396077
Result3952094,CN(CC[S-])CCP(CCc1ccccc1)c1ccccc1,29.0257,105.5549,0.0686,O=C([O-])C.[Cs+],CC1=CC=C(C)C=C1,"29.0257, 1.1713",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,1.0624999999999998,0.0,0.0,2,29.0257,1.1713,0.0,1.1229508196721312,0.07581635721763502,5.528784210526315,144.79004092062002,5.304539896238907,-0.09835999832031561,7.167975377192982,0.08496645480225995,1.142511517131525,-0.005023191470211225,0.07865556725454069,0.03304317175745304,1.0440798719442093,0.1310943487475822,-0.11441361183163598,0.1773423510175346,1.3282442748091603,5.714309523809524,0.08707122124204557,-0.07004053251475062,0.8849445039317818,-0.09835999832031561,7.303085404761899,-0.09835999832031561,6.059968750000002,1.0730929828307885,4.1220591410396485,48.38344818335764,5.476973282442748,38.213858456184965,-0.8104171901436459,0.03243460395475554,0.44019827992439414,0.31666988839183374,0.0,0.01337220747676461,12.67175572519084,-0.15822015157345218,0.9342978748081521
Result3952099,Cc1cc(CP([O-])c2ccccc2)c(O)c(-c2onc(C)c2C)c1,28.9449,113.8268,0.1463,O=C([O-])C.[K+],CCCC#N,"28.9449, 0.6025",0.1574807960088896,0.6819085487077534,0.1453627869996672,0.6971767885426821,1.3691437802907915,0.0,0.0,1,28.9449,0.6025,5.749511833283905,3.99895178197065,0.05198956777675902,6.11279797979798,189.99419149205744,10.197951498991383,-1.6205258869665828,7.708575393939393,0.1330248606996109,0.7614498356250512,-0.05240796289523932,-0.10938860971524293,-0.07063818280151436,0.7371393407671505,0.5200902822278358,-0.1751109713311287,0.29138182476691343,4.424444444444444,6.002519999999999,0.1293825661077782,-0.0012623206948729484,1.2703308332707086,-1.6205258869665828,7.513615280000001,-1.6205258869665828,6.3678155555555565,0.7449430996665646,5.9870171886004595,26.86446460883093,6.166597000000001,0.0,-0.8441572114484039,0.01933165378641887,0.3511325270076919,0.4036704441533299,63.23578107830314,0.029290804657763975,19.24,-0.028146914875417123,2.906992425668941
Result3952100,CC(N)P(c1ccccc1)c1cccc(N=Nc2cnccn2)c1N1N=CN(C)C1c1ccccc1,28.8026,100.5057,0.1339,O=C([O-])C.[Cs+],CCCC#N,"28.8026, 0.5965",0.15437109729761034,0.07445192098979814,0.1265444360281399,0.056742661225519415,1.3691437802907915,0.0,0.0,1,28.8026,0.5965,18.191697249339974,4.939458689458689,0.07542695687456469,6.033573584905659,222.0054350281006,21.351659793594532,-0.916119317068391,7.53822409433962,0.10450989905477275,0.7974544717884924,-0.03709843401974457,-0.1379743237481643,-0.07724337298272134,0.8260993887192369,0.6026034325186559,-0.07732700885323772,0.27392146271699536,4.996751137102015,6.207089999999999,0.10337541140926801,-0.0014479711987678723,1.0776044750789866,-0.916119317068391,7.652693163636362,-0.916119317068391,6.458114925373135,0.7684249917792461,10.076297927562102,-54.23616360124297,6.287198830409358,12.056584506631722,-0.3991645339333533,0.023496657111230335,0.3263005454104873,0.40452977753448044,54.79332227992327,0.019810646367718423,21.567251461988302,-0.25287204208769337,0.9770916327648074
Result3952091,c1ccc(P(c2c[nH]cn2)c2cn(Cn3cnc(-c4ccccc4N4CCOCC4)c3)cn2)cc1,28.7266,99.1578,0.0824,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"28.7266, 1.4513",0.1556534312908589,0.476153268219384,0.1428941881283608,0.5051641116163132,1.4760842589662049,3.4490740740740735,0.09259259259259278,3,28.7266,1.4513,6.6686911888991425,4.9174174174174174,0.008229861020635908,6.062702325581394,206.9324497820359,21.074482425870134,-0.8205091307658037,7.5845864418604645,0.11850904052444496,0.8963059032243371,-0.15519415729814182,-0.16251982553528943,-0.08473218530998697,0.968479887257918,0.6687149622877351,-0.10092640697149305,0.16372226341894247,4.671652421652422,6.367776785714285,0.1175925946690824,0.041456380137585194,0.8826871282579205,-0.8205091307658037,7.814315785714284,-0.8205091307658037,6.516128787878789,0.8338934923522501,9.70915566074278,-30.642224146568864,6.213505769230769,31.203186471701468,-0.43159864008267673,0.0025994443498556174,0.32469878692308707,0.38961402047674526,24.91785078960377,0.016621266686387415,19.384615384615383,-0.2649229095650292,-0.7726281321560383
