Unnamed: 0,SMILES,ATSC5v,AATSC5Z,MATS8se,AATS2p,ATSC5Z,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),lab_code,crystal_size,crystal_score
0.0,CCc1nnc(-c2ccnc(O)c2)o1,-207.66944869538727,-1.4311909262759923,-0.035132074863205943,1.4996268407735789,-42.93572778827977,53.57571881445899,91.15912537211771,105.21211708262979,78.0934291873334,0.0,0.8706408751799204,4.0
1.0,C1CCC(N2CCOCC2)C(C2COCO2)C1,-286.09511454369806,-0.09181818181818176,0.09831302103981486,1.2769560074344046,-12.119999999999992,81.75028694079406,14.527395731555991,114.38534309156641,118.32746343594565,1.0,0.05387373333333334,1.0
2.0,Cc1ccnc(-c2ccccc2)c1,43.485218762253226,-0.6348684210526315,0.24990226136340266,1.736390214863675,-24.125,135.310900207091,17.44747759903797,96.5552914657825,18.198354506955226,0.0,0.2935421486461252,4.0
3.0,Cc1ccc(-c2ccccn2)cc1C1CCCCC1,-56.85457540298014,0.012941176470588185,-0.16426935902431009,1.6177908372209473,1.3199999999999952,121.37933395053184,12.076413061302553,146.0041209941546,36.53753616047738,1.0,0.10324705333333346,4.0
4.0,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.3487049905243217,1.7141158932775526,-15.22495274102079,134.53094112748724,125.06776235875994,131.58932921231965,82.74194288168906,1.0,0.8756239901230347,4.0
5.0,Cc1ncc(C2CCCC(O)C2)s1,48.03319400075056,0.000944822373393768,-0.2560989619493969,1.631153012591537,0.05102040816326348,0.7758369896520592,16.352005749145313,135.28840649269821,30.870948249807306,0.0,0.6945184000000021,4.0
6.0,Cc1ccnc2c(C(N)=O)cccc12,-402.46513542630476,-1.1410147392290249,0.4474950141357473,1.7376146064848998,-55.90972222222222,128.25506285503977,80.7010778291814,110.186435771861,159.96581744540967,1.0,1.6616891335497823,4.0
7.0,Cc1ccncc1-c1ccncc1,-85.45788956877331,-0.3383322831337953,-0.3487049905243217,1.7141158932775526,-15.22495274102079,72.48383415053974,83.4693931013676,184.41087760773567,97.27527017249832,0.0,0.6766758801569259,4.0
8.0,Cc1cncc(-c2cnccn2)c1C,337.54874381184106,0.689362962962963,0.2811259092666111,1.611874436645095,37.2256,99.79163443085196,68.08686277702151,64.71987899192136,71.72461832139106,1.0,0.9969447496517077,4.0
9.0,c1cncc(Cc2cccnc2)c1,-161.82016681917582,0.17332230623818526,-0.16648241735102262,1.7052345017065529,5.546313799621927,51.48144616657428,109.32986225365906,120.18039506024908,114.97057227351101,0.0,0.7608618894345855,4.0
,Cc1cnc(CO)c(-c2cnccn2)c1C,-299.48721714911886,-0.19878781873431087,0.16525166010530354,,,141.4386,68.5996,61.9197,71.4974,0.9821009635925292,1.7533415013920337,0.0
,CCc1nnc(COc2cc(C)ncn2)o1,-171.2357003403013,-1.0045918367346935,-0.3839064795526487,,,95.641,211.0752,89.8295,44.0915,0.752177357673645,1.3977761989273143,0.0
,Cc1cccc2ccc(C(C)N)nc12,-680.9736981415306,-1.3824640967498112,0.28303098008091704,,,128.8885,61.3518,99.5669,111.3751,0.11546174436807632,1.131597985669331,0.0
,Cc1ccncc1-c1ccncc1,-85.45788956877334,-0.33833228313379543,-0.3487049905243217,,,117.9362,227.4656,93.9815,51.0622,0.5902281999588013,0.8275319081116113,0.0
,CC(N)c1ccnc(-c2ccco2)c1,-21.47621142498184,0.1775147928994084,0.051419635102130025,,,155.3097,22.7361,100.7947,11.0582,0.05865352973341944,0.7187948738201909,0.0
,Cc1cnc(C2CC[NH2+]CC(O)C2)s1,131.81615609053785,0.8657027039619802,-0.22020973353596127,,,1.1291,17.6833,113.3058,70.4423,0.09172344952821733,0.6354822285714297,0.0
,Cc1cnc(C(O)c2ccccc2)s1,-22.76866062268239,-1.2770871794871799,0.1589583474444595,,,1.4504,27.2564,97.4261,32.079,0.048426687717437744,0.5802718341146945,0.0
,Cc1cccc(-c2ccccc2)n1,-193.68963307898133,-0.7796052631578947,0.2499022613634027,,,115.2397,18.7569,96.2781,16.7669,0.0663643628358841,0.3521720386657791,0.0
,Cc1cccc(-c2ccccc2)n1,-193.68963307898133,-0.7796052631578947,0.2499022613634027,,,104.0667,16.2343,113.8906,18.6631,0.5114413499832153,0.08648140787878789,0.0
,FC1CCCCC1Cn1cc[nH+]c1,367.65782424503715,0.8536203767444771,0.07431489565243135,,,63.3665,13.9738,116.7091,109.7931,0.936431348323822,0.03200465,0.0
,Cc1cccc(-c2ccco2)n1,-315.75459349018985,-1.4666666666666666,0.3946803131355237,,,174.0616,83.9086,86.6418,9.9942,0.9696167111396792,2.158685308013749,0.0
,Cc1cccc2c1ncc1[nH]c[nH+]c12,-733.355324259421,-2.047506313131313,0.609328081737704,,,176.2361,112.1129,64.9485,203.7162,0.9887880086898804,1.786031540990399,0.0
,Cc1nnc(-c2ccccc2)o1,-46.726975249503575,-1.7872727272727276,0.3158084012415853,,,196.478,117.7893,65.9885,19.7363,0.8879089951515198,1.7224133820786431,0.0
,Cc1cccc2c(C(O)c3ccccc3)ccnc12,-498.44477260895826,-0.8539877824768249,-0.005040854328848618,,,127.2483,121.8807,64.8778,212.3581,0.9740201830863952,1.4527257739718602,0.0
,CCc1nnc(OCc2nnc(C)o2)o1,-433.40523979398336,-2.0400000000000005,-0.36859371712676503,,,77.1634,183.996,87.3816,70.199,0.9833397865295408,1.2685189543705635,0.0
,Cc1cc(CPc2ccccc2)ccn1,93.41369630122186,0.3124985978058465,-0.12371455541571025,,,187.7237,56.5231,45.1336,8.9991,0.2439432442188263,1.23684400794816,0.0
,Cc1cncc(CO)c1C1[NH+]=C2CCOCCN2C1=[NH2+],-324.9948804097728,0.1045161290322581,-0.01094172852427715,,,132.0991,101.4579,52.5016,80.6338,0.9820693135261536,1.2334027221111912,0.0
,c1ccc(Cc2ccccn2)cc1,302.45005084727575,0.9138513513513512,0.12564044527665189,,,104.6764,72.4344,73.8995,8.131,0.7265058755874634,1.0872519993289989,0.0
,Cc1cnc2nc(C3CCC[NH2+]CC3)sc2c1,209.1232740416523,-1.3092957746478866,-0.14202097149606668,,,1.4351,114.4214,49.6341,68.2394,0.9997043013572692,0.942109641118864,0.0
,Cc1onc(O)c1CC1CCCC(S(C)(=O)=O)C1,258.3159266897306,-0.2697808619430242,0.6478186797185522,,,1.2619,56.1686,82.9262,61.8297,0.9731482863426208,0.5950295126208281,0.0
,CCc1nnc(COC(=O)c2ccccc2C)o1,-253.43872008122398,-1.68359375,-0.5047581764126234,,,232.8558,362.3991,48.1061,75.6409,0.9544252753257751,1.6194331938045392,0.0
,c1ccc(-c2ccccc2)cc1,-96.74897106478987,-0.3159941662615459,0.4666666666666603,,,270.347,83.215,87.6398,5.2445,0.956477165222168,1.592391934821815,0.0
,CCC(N)c1ccc2c(C)ccc(C)c2n1,-464.91604759022596,-1.0533982656243328,-0.12308051242894748,,,170.3926,111.8196,78.138,97.7005,0.9905657172203064,1.511956982846511,0.0
,Cc1cccc2c(COC3(c4ccccc4)CC[NH2+]CC3)ccnc12,-615.1883658862322,-0.5570246575342466,-0.024946090620685958,,,324.3044,100.8943,67.3226,226.4075,0.9791365265846252,1.4686652075806377,0.0
,c1ccc(Cc2ccccn2)cc1,302.45005084727575,0.9138513513513512,0.12564044527665189,,,178.8651,92.585,69.4838,9.5184,0.941531538963318,1.2807103455437632,0.0
,Cc1ccnc(C=Cc2ccccc2)c1,169.85655451689644,0.2731910946196662,-0.21714946494716275,,,247.1266,99.4975,43.3205,18.892,0.9800443053245544,0.9321822240025583,0.0
,CC(O)c1nc(-c2ccccn2)n[nH]1,-24.04255939286223,-1.1994949494949498,0.009712435934094935,,,243.1325,23.7827,78.125,9.6875,0.21575205028057096,0.9154873818676451,0.0
,CC(C)OCC1CN(S(C)(=O)=O)CCO1,212.52515904534656,1.4034025374855823,-0.007259821847380367,,,174.1347,20.5704,75.2121,9.9781,0.16043367981910706,0.6249727743149601,0.0
,Cc1ccnc(-c2ccccc2)c1,43.4852187622532,-0.6348684210526315,0.2499022613634027,,,181.6073,20.0935,46.8516,12.7007,0.7513758540153503,0.35623514443009485,0.0
,c1ccc2c(c1)CCC(C1CCCCC1)C2N1CCOCC1,149.99731264871318,0.02112680494891616,-0.054218461436222234,,,147.66299999999998,18.4155,80.7629,62.5,0.9869152903556824,0.11044140303030313,0.0
,Cc1cccc2c1ncc1[nH]c[nH+]c12,-733.355324259421,-2.047506313131313,0.609328081737704,,,175.3274,99.2145,65.1537,272.3806,0.867858350276947,1.7857205409903991,0.0
,CC(C)OCc1nnnn1C1CC1,-146.63547181128416,-0.3396776406035666,0.1725085653012104,,,200.5088,143.3505,50.3399,10.6789,0.8427160382270813,1.7509020724123934,0.0
,Cc1ccccc1-c1ccnc2cccc([N+](=O)[O-])c12,-396.12998398859816,-0.07381810897435898,-0.4763776893349481,,,252.9017,217.3769,58.7409,103.1173,0.9886364936828612,1.1936563536647502,0.0
,CC1CC2CC[NH+]1CC2Cc1ccccc1,879.6687707092467,1.1680539493854722,-0.08297663847132777,,,187.7681,164.0724,166.6305,9.1385,0.9723241329193116,1.0814888116738817,0.0
,Cc1cccc2c(C(C#N)N3CCC(O)CC3)ccnc12,-185.9204224323716,-0.19464285714285715,-0.15463936857712074,,,569.8973,82.7982,57.6673,262.9282,0.9748238921165466,1.0352046952549065,0.0
,Cc1c(I)cncc1-c1ccncc1,167.2188933049584,0.05923125393824818,-0.3384093192992768,,,292.3976,437.5068,60.4505,45.4917,0.9818994402885436,0.9896489697223861,0.0
