Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS2pe,base_GATS3Z,base_GATS3m,base_GATS1se,solvent_VSA_EState9,solvent_GATS4se,solvent_NsCH3,solvent_SdssC,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3943318,CC(C)(CCP(c1ccccc1)c1ccccc1)c1ccc(-c2ccccc2)cc1CO,76.177,112.5594,0.1110,O=C([O-])C(C)(C)C.[K+],CCCC#N,"76.1774, 0.8197",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,0.0,1.3691437802907915,1,0.0,76.1774,0.8197,0.0,2.2399267399267395,0.1334094693224772,5.5815514018691585,172.5429427247892,10.609079792477814,-0.42434240497772624,7.217216327102802,0.09240140913983742,1.01204152613828,0.06592837281122399,-0.028925508205578425,-0.01610616607062946,0.9849825514699586,0.2981936186670136,-0.11001534239848272,0.19825831304170807,2.1437258153676066,5.763607142857142,0.0924592091187899,-0.034132974555478826,1.048480981992308,-0.42434240497772624,7.2920715178571385,-0.42434240497772624,6.105621212121212,0.9915216892901696,7.848492819127053,6.671015182479021,5.696659203980096,6.161910027467921,-0.3350467239547954,0.045531588546735925,0.36524980888672104,0.3493256872416226,6.06636706846161,0.02114266990933657,13.621890547263682,-0.05722239655192789,4.039136816502183
Result3943315,Cc1ccc(-c2ccccc2)c(-c2c(C)nc(C)c(CP(c3ccccc3)c3ccccc3)c2CP(c2ccccc2)C2CCCCC2)n1,70.154,96.3277,0.1027,O=C([O-])C.[K+],CC(N(C)C)=O,"70.1537, 0.7255",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,70.1537,0.7255,0.0,3.134680134680135,0.1163591210283556,5.686860893854747,207.67700409430753,15.913619688716722,-0.6551403242939637,7.241585340782126,0.1254272584449081,0.9460000983283813,0.01564056842396576,0.022981131378775596,0.012538403424830029,0.9088478917918589,0.622297639649418,0.0606660218869046,0.315888782835871,3.401434984768318,5.738636363636361,0.12456984321534387,-0.09198417197657084,1.0633048031098504,-1.1063177129448978,7.266820295454543,-0.45117738865093404,6.090965346534645,0.9190289131297824,11.56165781013261,77.38147532574129,5.80607077922078,0.0,-0.398550143017175,0.0426624388135519,0.3801067820149329,0.3766792604590167,0.0,0.019439393446128377,18.217532467532468,-0.033670898191961604,3.5485485953206477
Result3943320,CC(C1CSCCS1)P(C)CO,44.705,92.4094,0.1241,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"44.7049, 1.7116",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.0624999999999998,2,0.0,44.7049,1.7116,0.0,0.4890788224121558,0.1863663514725939,5.400823529411764,107.49454347314554,0.0,-0.14102880658436168,7.224663568627452,0.10580513749009836,1.1509318412738176,-0.1262965290434265,0.01580604112249677,0.007104261051490822,0.9988046100112309,0.05892556509887896,-0.18786946892317785,-0.055003569154785555,0.3094233473980309,5.506074074074075,0.1133214040379549,0.04250862577424275,1.1529851539980223,-0.14102880658436168,7.313413407407408,-0.14102880658436168,6.040672413793106,1.1215685335121925,-0.75518688773007,1.0444943556318906,5.464850632911392,30.27135679352773,-0.2539952423337099,0.11852391359334141,0.7087719504446163,0.27210174411950067,0.0,0.02058289206242001,11.49367088607595,-0.05945102707314294,5.862375042538667
Result3943317,COC(=O)C1=C(C)NC(CCc2ccc(C(F)(F)F)cc2C(F)(F)F)(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)C=C1C,37.77,91.0204,0.0991,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"37.7698, 3.8493",0.1556534312908589,0.476153268219384,0.5051641116163132,0.1428941881283608,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,37.7698,3.8493,0.0,5.5625,0.09127986964842598,6.295696428571428,201.03758190085009,15.925868396484145,-2.174079836324104,7.77139277857143,0.027585395373856875,0.5433535607321421,0.011954183377071895,-0.019611650485436886,-0.01795555555555555,0.5674620017225852,0.4815135736671988,-0.07222595886441102,0.22556398333628408,4.774222222222223,7.306869117647059,0.02582024939037716,0.01104267922007413,1.0119202577820388,-2.174079836324104,8.533713397058822,-2.174079836324104,6.863839743589738,0.5278951045419074,10.811233115582205,-260.0508093278463,6.6682619999999995,7.109797541277533,-0.4963259493235701,0.031157575122980685,0.2983071140560289,0.5172714621425156,0.0,0.04659280574371384,20.136,0.08596706038591007,1.9201075501653582
Result3943324,C(=CP(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,37.01,99.5870,0.1079,O=C([O-])C.[K+],CCCC#N,"37.0099, 0.9105",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.3691437802907915,1,0.0,37.0099,0.9105,0.0,2.9246031746031744,0.13160216386651583,5.504529411764706,222.79912901879922,21.21815958495563,-0.5284715923406402,7.111472,0.13279859380562478,1.1634821058008493,-0.029139076591303603,0.019813519813519826,0.00906666666666667,1.1721698113207548,0.23570226039551584,-0.018115333402577666,-0.05144228293143328,3.1444444444444444,5.703142857142858,0.13311585694202305,0.016967311593382654,1.0998773051164858,-1.0569431846812802,7.229234333333333,-0.52847159234064,6.028103773584906,1.044905127845875,7.988571022772315,-13.621333333333338,5.746983333333333,0.0,-0.3201309054992347,0.06115732075109993,0.39382395660993186,0.34173141324768247,0.0,0.012228475871469012,20.233333333333334,-0.06045879821405171,4.226610208188722
Result3943321,Cc1cccc(OCP(C)CCP(C)C)c1,36.244,116.8930,0.0626,O=C([O-])C.[K+],CC(N(C)C)=O,"36.2439, 0.9434",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,36.2439,0.9434,12.097482202338735,0.6971677559912854,0.16569346538040794,5.590190476190476,140.58450722717086,4.736862953800049,0.04759805156630592,7.1992334285714294,0.17898262507850105,1.1065153461015877,-0.43892458303599635,-0.15291415901172012,-0.06946792819368999,0.9897837842714234,0.1422588984322123,-0.3704440065312642,0.4575747774389303,0.6132756132756133,5.481194029850746,0.17938290250289682,0.3132677358545013,1.1406516423222095,0.30514710067840656,7.170816029850748,0.25754904911210064,5.960289473684211,1.0921367990333704,1.2294823482987924,-21.814267637905676,5.480676623376625,38.66626723668828,-0.5203759956151435,0.09182642554570646,0.6365711711577391,0.3576185254676363,6.06636706846161,0.02655163511898049,13.675324675324676,-0.049998063286004424,2.16615264815014
Result3943310,[NH-]c1ccccc1P([O-])c1ccccc1,33.84,100.2208,0.1197,O=C([O-])C.[K+],CC(N(C)C)=O,"33.8399, 1.1820",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,33.8399,1.182,0.0,5.152777777777778,0.024498730737833745,5.936514285714285,199.59842364307335,15.50249139523029,-1.6291152263374482,7.4753821714285715,0.1527126553722298,0.8816251859421773,-0.24321620636048857,-0.12622100122100122,-0.06785641025641026,0.7689704015422232,0.19037142086468112,-0.175878516460335,-0.13750189953831427,4.461538461538462,5.9799999999999995,0.14868519417678425,-0.07208709967784155,1.1792338750738274,-1.6291152263374482,7.462392300000003,-1.6291152263374482,6.21779230769231,0.8343241038365814,4.216076486392163,-39.82036543209877,6.250179487179488,0.0,-0.8406147096100084,0.011138602317224603,0.36314837554997165,0.30833090993436046,36.39820241076966,0.019901324142559396,17.794871794871796,-0.025043201295544035,4.179850411451216
Result3943325,ONCCP(CCPc1ccccc1)C1CCCC1,33.705,98.8080,0.1104,O=C([O-])C.[K+],CCCCOC(C)=O,"33.7045, 2.4770",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.0555555555555556,2,-0.18199074074074065,33.7045,2.477,0.0,0.7906746031746031,0.1415305075245426,5.436427868852457,136.42326888310615,10.78463649436011,0.1205172902494338,7.153597918032787,0.07542535878088481,0.9733162893199557,0.06994954253022673,-0.01563315408526762,-0.00603200728393332,0.8443089776504079,0.19001991384646114,-0.057184719150302474,0.08309526155058625,0.923728813559322,5.599158536585367,0.07722700263066493,0.11550066590252832,0.838995124512715,0.1205172902494338,7.213791585365851,0.1205172902494338,6.070191111111112,0.9978111225196818,1.9762687577636564,6.399449035812669,5.530923728813559,25.03048648831634,-0.30985708277286783,0.07178113401270235,0.5143481904458135,0.3095187535282536,0.0,0.009896600768745899,12.271186440677965,-0.14298622529028993,4.543465915439683
Result3943322,c1ccc(P(c2ccccc2)c2ccccc2)cc1,32.772,102.2468,0.1101,O=C([O-])C.[K+],CC(N(C)C)=O,"32.7720, 0.4677",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,3.4490740740740735,1.4760842589662049,3,0.09259259259259278,32.772,0.4677,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3943316,OCP(c1ccccc1)C1CCCCC1,28.932,99.0336,0.1017,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"28.9322, 0.8516",0.1574807960088896,0.6819085487077534,0.6971767885426821,0.1453627869996672,0.0,1.0624999999999998,2,0.0,28.9322,0.8516,0.0,1.4371184371184371,0.18874986655764697,5.586987951807229,137.70056746750927,5.304539896238907,-0.31616255144032923,7.26413908433735,0.1254434484074004,1.0842254676562615,-0.09535626424231307,-0.09118773946360154,-0.03888888888888889,1.0147706489414032,0.11785113019775792,-0.044257559665231996,0.009036294660551447,1.3888888888888888,5.642125000000001,0.1263369129280491,0.043309167888904807,0.9448532294103048,-0.31616255144032923,7.243967593749999,-0.31616255144032923,6.0601,1.0807778782960382,2.078884803421924,-14.56221965910547,5.742666666666667,6.3479703690548295,-0.31064010840038003,0.07894485225305213,0.46484426937559115,0.31494475882220235,0.0,0.011413244146704353,10.8,-0.04121466388162992,4.994799458296333
