Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS3m,base_GATS2pe,base_GATS1se,solvent_SdssC,solvent_GATS4se,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3938501,C#CCN(C(=O)c1c2ccccc2nc2onc(C)c12)P(c1ccccc1)C1CCCCC1,45.219,119.0035,0.1472,O=C([O-])C.[K+],CC(N(C)C)=O,"45.2190, 1.2355",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,45.219,1.2355,0.0,4.993011879804333,0.029215903153953733,6.003849999999997,221.49887425121508,5.304539896238907,-0.9423561245485852,7.554488941176468,0.12979085901573081,0.6740604495123185,-0.08177947259053717,-0.17900280164145962,-0.1046968411784004,0.6422907145202085,0.6398069300232654,-0.06014778206148606,0.3353814578398902,5.049309664694279,6.033999999999996,0.12672807930776492,-0.04000823648195606,0.9913422042191468,-0.9423561245485852,7.520887309090907,-0.9423561245485852,6.3414793650793655,0.6592529619828649,7.764662012281683,-7.5742177109600295,6.30272544378698,6.544756405912575,-0.4451859583277753,0.009709396892809006,0.34577441820636456,0.46369181086148625,41.92598873191997,0.019949748920347597,21.680473372781066,0.061833780268827694,1.259741168268759
Result3938491,c1ccc(P(Cc2cccnc2)c2ccccc2)cc1,42.765,109.3445,0.1042,O=C([O-])C.[K+],CC(N(C)C)=O,"42.7653, 1.0811",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,42.7653,1.0811,0.0,2.688614540466393,0.11237461765075131,5.6853033707865155,207.88819067757038,10.609079792477814,-0.36716049382716065,7.2364463820224705,0.12189967369435477,0.9092068489110288,-0.11144544589929414,-0.13414634146341464,-0.059620596205962065,0.878484798182657,0.19001991384646116,-0.09057014878972948,0.05823688665026723,3.5813008130081294,5.799377049180328,0.12134558470793323,-0.06772403303164265,0.9772408979912867,-0.36716049382716065,7.311981147540985,-0.36716049382716065,6.12,0.869384987205587,5.785777080039813,25.19493979576284,5.775091463414634,0.0,-0.37701252572747956,0.044632520433777766,0.37389360888819057,0.3389598567979698,18.460054211687762,0.011978028599776236,16.829268292682926,-0.06619415763829367,2.841846055979712
Result3938488,C(=CP(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,40.971,109.4008,0.0955,O=C([O-])C.[K+],CC(N(C)C)=O,"40.9709, 0.8435",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,40.9709,0.8435,0.0,2.9246031746031744,0.13160216386651583,5.504529411764706,222.79912901879922,21.21815958495563,-0.5284715923406402,7.111472,0.13279859380562478,1.1634821058008493,-0.029139076591303603,0.019813519813519826,0.00906666666666667,1.1721698113207548,0.23570226039551584,-0.018115333402577666,-0.05144228293143328,3.1444444444444444,5.703142857142858,0.13311585694202305,0.016967311593382654,1.0998773051164858,-1.0569431846812802,7.229234333333333,-0.52847159234064,6.028103773584906,1.044905127845875,7.988571022772315,-13.621333333333338,5.746983333333333,0.0,-0.3201309054992347,0.06115732075109993,0.39382395660993186,0.34173141324768247,0.0,0.012228475871469012,20.233333333333334,-0.06045879821405171,4.226610208188722
Result3938492,C=C(C)P(C(C)C)C(C)(C)Oc1ccc(OC(C)Oc2cccc3c(OC)cccc23)cc1,39.746,90.6888,0.0933,O=C([O-])C.[K+],CCCC#N,"39.7465, 0.9957",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.0,1.3691437802907915,0.0,1,39.7465,0.9957,28.34018654866122,2.8445692883895135,0.03569647815672864,5.39013438735178,158.6301199352594,18.947451815200196,-0.4909748346786671,7.101880671936759,0.11436073408260523,0.8460831854423891,0.29210509577959776,0.09229400927514134,0.05818275022427272,0.880496365575943,0.3888686400594718,-0.053804204749713494,0.4324790757619113,2.0154320987654324,6.023735537190083,0.11237353280349711,-0.05713944378568733,1.2848054446931498,-0.4909748346786671,7.589585603305784,-0.4909748346786671,6.276278571428571,0.82596967353942,6.94162048330899,-42.02853603314965,5.975359722222222,7.109797541277533,-0.5287607496288711,0.01173502114223941,0.36175760765933046,0.429127393426357,67.58740788430673,0.03193891445119948,12.722222222222221,0.18716894467456832,0.027997869135019574
Result3938496,Cc1ccc(C)c(C2C(c3ccccc3P(c3ccccc3)c3ccccc3)CCCC2C(C)(C)C)c1,39.201,101.5295,0.0988,O=C([O-])C.[Cs+],CC(N(C)C)=O,"39.2007, 1.4749",0.07445192098979814,0.056742661225519415,0.15437109729761034,0.1265444360281399,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,39.2007,1.4749,0.0,2.336279461279461,0.11135833842329275,5.556429411764706,193.22127051378783,15.913619688716722,-0.6357880110205947,7.143966905882357,0.10929226904908022,1.1123068763693078,-0.10478136474090467,-0.12970155355682753,-0.07821745562130178,1.1157748736523894,0.5020307596203964,-0.092852362594959,0.3083504659746854,2.482638888888889,5.675306122448981,0.1081212038308353,-0.0844860484552685,0.9621161336371513,-0.6357880110205947,7.212592380952381,-0.6357880110205947,6.022664634146342,1.0684315568450153,7.7476205387882935,-5.429395865293309,5.698902777777777,0.0,-0.34084287721431294,0.0363101446422536,0.3719122238311408,0.3462859980851743,0.0,0.027077254157639948,14.89236111111111,-0.033945591408315864,3.7322701979315815
Result3938493,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,37.431,106.0741,0.0889,O=C([O-])C.[K+],CC(N(C)C)=O,"37.4306, 0.2118",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,37.4306,0.2118,0.0,0.7212475633528265,0.1604411701162514,5.35942857142857,142.7534304683886,0.0,0.3848456790123461,7.029104,0.1582952815829528,1.5139684722540552,-0.14308807159910514,-0.17547043652688896,-0.07027902468883902,1.5186049526772982,0.17677669529663687,-0.02170773126268103,0.005252015608518247,0.7586206896551724,5.50762162162162,0.1569594127514907,-0.05278359096964088,1.1674628839575534,0.3848456790123461,7.116083675675675,0.3848456790123461,5.906083333333333,1.4488873443043222,-0.4142135623730958,-11.749726057418371,5.497603448275862,0.0,-0.25977629464886576,0.05676701024819956,0.5130133214527443,0.2469374324919789,0.0,0.011722306294206161,9.931034482758621,-0.017483203233440284,4.653052482560114
Result3938486,BrC=CP(C1CCCCC1)C1CCCCC1,35.135,106.4691,0.0985,O=C([O-])C.[K+],CCCC#N,"35.1352, 0.8521",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.0,1.3691437802907915,0.0,1,35.1352,0.8521,0.0,0.7584940312213039,0.11722754417633441,5.421389830508477,146.09925120453448,0.0,0.17548096707818972,7.159642305084744,0.029618140187606168,1.2770546358313328,-0.13577706543673185,-0.13467794404684447,-0.05353448275862068,0.8270743500970149,0.11785113019775792,-0.02069973274308243,-0.06498213238454313,0.7075351213282248,5.523135802469137,0.025823724230713278,-0.027075460723062408,1.152461964332637,0.17548096707818972,7.147827950617281,0.17548096707818972,5.9383902439024405,1.1127512564736,-0.13553217465657497,-13.59326474622771,5.5359310344827595,0.0,-0.2631686083104149,0.05612162232062513,0.554353524820054,0.2775918737761123,0.0,0.01069991638753533,16.344827586206897,-0.022318431407699534,3.5152227080477005
Result3938499,CC(C)Oc1ccccc1OC(C)(C)C(C)P(C(C)C)C1CCCCC1,34.053,90.2077,0.1112,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"34.0527, 1.0416",0.476153268219384,0.5051641116163132,0.1556534312908589,0.1428941881283608,0.09259259259259278,1.4760842589662049,3.4490740740740735,3,34.0527,1.0416,5.601050810983688,1.4316666666666669,0.07693287450065431,5.5809,151.72350078301577,9.473725907600098,-0.07541601345613658,7.261365664285714,0.12335475971839602,0.9517322991178817,-0.1261155922537214,-0.14470486630376264,-0.08000723495516912,0.9133930673623645,0.17677669529663687,-0.0072779895221748514,0.4667704933184254,1.0475497331392527,5.712288,0.12093863724534511,0.09640858720252524,1.1447401309264038,-0.07541601345613658,7.31669488,-0.07541601345613658,6.070931818181818,0.9644139751467657,2.332984643340076,-87.14756373730731,5.71799344978166,0.0,-0.5224441728383533,0.02523109128072919,0.44411622349911317,0.4113262821556287,24.26546827384644,0.03331393556371179,11.868995633187772,-0.09009075247877399,0.7028619649353406
Result3938494,CN(C)c1ccccc1-c1ccc(P(c2ccccc2)c2ccccc2)cc1N(C)C,33.389,105.4519,0.1024,O=C([O-])C.[K+],CCCC#N,"33.3893, 1.2817",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.0,1.3691437802907915,0.0,1,33.3893,1.2817,0.0,3.3059071729957807,0.06732552055648665,5.645138613861384,208.48187812066598,25.713439150417678,-0.625445763696425,7.223324099009901,0.11999301096405032,1.0084574652743143,-0.16298869579297384,-0.18256863767043835,-0.10401340996168584,1.0655962493042075,0.33192730526045344,-0.08028102776938836,0.28538141180570176,3.2260536398467434,5.895028571428571,0.11808402112053973,0.06854796092499901,1.107897997939664,-0.625445763696425,7.404631999999998,-0.625445763696425,6.166952380952382,0.951475718502049,8.78119179884818,-64.6572839506173,5.892356896551724,37.99050739240972,-0.44590064633611576,0.02284017456399476,0.3495670736234627,0.3635586348325146,0.0,0.022569771429332114,17.137931034482758,-0.21256772446577954,1.1482396293953527
Result3938495,CC1=NC(c2ccccc2-c2ccccc2CP(C(C)C)C(C)C)CO1,31.513,97.0315,0.0859,O=C([O-])C.[K+],CCCC#N,"31.5130, 1.0571",0.6819085487077534,0.6971767885426821,0.1574807960088896,0.1453627869996672,0.0,1.3691437802907915,0.0,1,31.513,1.0571,12.648722793660879,2.3842293906810035,0.09254756876859173,5.55839010989011,160.02808252779585,0.0,-0.0408138099204014,7.184138274725278,0.12439718495929926,0.9034335528549132,0.024084604401701543,0.05746794640494577,0.03276552556506474,0.8813522753667327,0.35870074663865076,0.010703637576860136,0.42190618002308944,2.0675029868578254,5.770019230769233,0.12276709979239701,-0.15871428124309486,0.8787785102119101,-0.0408138099204014,7.337016519230769,-0.0408138099204014,6.114724137931035,0.89902158270311,4.599061424180172,49.00003149407911,5.644854838709676,6.606881964512918,-0.5103582896916805,0.03221678390310615,0.40132357266596685,0.38014036230203535,6.923737199690624,0.027037665837936046,12.870967741935484,0.010715084347714862,1.854227461177438
