Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3m,base_GATS1se,base_GATS2pe,base_GATS3Z,solvent_GATS4se,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3922316,[c-]1ccccc1P(c1ccccc1)c1ccccc1,45.435,106.8781,0.1048,O=C([O-])C.[K+],CC(N(C)C)=O,"45.4352, 0.6020",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,45.4352,0.602,0.0,4.1940298507462686,0.11894024339065114,5.6551219512195114,242.0156205114872,15.913619688716722,-0.5015432098765431,7.202459707317073,0.11882362543189053,1.050326139109461,-0.25396170878745483,-0.3415268941584731,-0.15492588219860945,1.0575289575289575,0.17677669529663687,0.01392905510406988,0.012760157188486552,4.457142857142857,5.748181818181819,0.118518113489421,-0.1121731111824266,0.964237868087371,-0.5015432098765431,7.2560304,-0.5015432098765431,6.066814285714285,0.9558226282905692,5.721885917273355,-22.479701617748766,5.903557142857142,0.0,-0.46523871551194473,0.048678785901109904,0.3621099622327467,0.3230144616925248,12.13273413692322,0.011722306294206161,18.885714285714286,0.034326857859683604,3.6058299627409256
Result3922318,Cc1cc(O)cc(C(C)C)c1P(c1c(-c2ccccc2)cccc1C(C)C)C1CCCCC1,35.352,107.8521,0.1247,O=C([O-])C.[K+],CC(N(C)C)=O,"35.3519, 0.4698",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,35.3519,0.4698,5.749511833283905,2.54932502596054,0.1341718383455303,5.689098684210527,211.92489135735397,10.609079792477814,-0.5642668178382464,7.250027730263154,0.09880934438583261,1.0627465002731176,-0.19317390711540888,-0.2576691013020008,-0.14985963356974003,1.0128577016218996,0.4109634014165854,0.07414132284793966,0.38615790442304126,2.6047281323877067,5.66530882352941,0.09854961138071446,-0.15111953515997675,1.1078707795290355,-0.5642668178382464,7.22179194117647,-0.5642668178382464,6.058046666666668,1.0549136888769481,5.8700391482789165,-90.17588782197834,5.82108340425532,0.0,-0.34154598564066696,0.04426755682913048,0.391735923809047,0.36757494362687443,12.13273413692322,0.026615021492829554,17.370212765957447,0.032901286697853756,4.0335411533290335
Result3922317,CC(CP(c1ccccc1)c1ccccc1)(CP(c1ccccc1)c1ccccc1)CP(c1ccccc1)c1ccccc1-c1ccccc1,32.31,108.5254,0.1085,O=C([O-])C.[Cs+],CCCC#N,"32.3098, 1.2031",0.056742661225519415,0.1265444360281399,0.15437109729761034,0.07445192098979814,1.3691437802907915,0.0,0.0,1,32.3098,1.2031,0.0,2.7546987285793256,0.1336791599699837,5.591917525773198,225.36472376757646,31.827239377433443,-0.6993318589438517,7.165491469072167,0.13388499230526063,1.1455143167777078,-0.16279074327471757,-0.2137490264351492,-0.11185432924563361,1.1529916332700556,0.44977843545821145,-0.06723365898374488,0.09141474838988006,2.809364548494983,5.686254545454546,0.13372352954322908,0.03586222888408544,0.8477826474746745,-1.9121532865319946,7.21846093333333,-0.6064107137940713,6.031393939393932,1.0457515700678435,13.05735896789422,-179.8553461543403,5.7878411371237455,18.485730082403762,-0.3322375741510388,0.05731628726534012,0.3923765055313991,0.3625717526970767,0.0,0.016973315720818782,19.48829431438127,-0.08372609754916516,4.402928353566042
Result3922325,CC(c1ccccc1)P(C1CCCOC1)C1CCCC=C1P,29.248,105.2756,0.1140,O=C([O-])C.[K+],CC(N(C)C)=O,"29.2483, 1.2464",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.4760842589662049,0.09259259259259278,3.4490740740740735,3,29.2483,1.2464,0.0,1.398822663723326,0.0024044498860657853,5.5006010362694315,160.94445186815096,0.0,-0.08795781893004073,7.164892455958549,0.02116050039925473,0.957455766149032,-0.10127584967033117,-0.12410700714394286,-0.06076279069767442,0.9053137406529833,0.24929698596356004,-0.019218328004310253,0.1859648161488076,1.515503875968992,5.694185567010308,0.02286636751243469,-0.007322433287030678,0.9937586201619657,-0.08795781893004073,7.2895026804123715,-0.08795781893004073,6.0081346153846145,0.9485278884306967,2.3928439072177046,9.379595061728391,5.604063953488372,13.213763929025836,-0.41668039536456414,0.001157919559040283,0.44809242158545803,0.3137750879491431,0.0,0.018243482479272665,13.686046511627907,-0.09156086262720575,2.0032699990646003
Result3922328,c1ccc(P(c2ccccc2)c2ccccc2)cc1,26.41,93.2778,0.1071,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"26.4104, 0.9571",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.0624999999999998,0.0,0.0,2,26.4104,0.9571,0.0,3.5694444444444446,0.12266737519710581,5.612,232.41498194289477,15.913619688716722,-0.44598765432098797,7.177178666666666,0.1223537854323646,1.0715664487086345,-0.2134428452713452,-0.3187047619047618,-0.14474048442906573,1.078560063643596,0.17677669529663687,-0.010224106262287468,-0.027091402123113537,3.84,5.739473684210526,0.12194683472942648,-0.08217176446339644,1.0134424628342387,-0.44598765432098797,7.251174315789474,-0.44598765432098797,6.054124999999999,0.9797757933650203,5.721885917273355,-17.900807381776236,5.873719999999999,0.0,-0.3226416970818605,0.05014849143074894,0.36878628511041367,0.33485565497361364,0.0,0.011722306294206161,17.96,-0.044573337962727916,3.7432183095241576
Result3922321,CC(C)P(Cc1ccc2ccccc2c1O)C(C)C,26.281,115.4052,0.1210,O=C([O-])C(C)(C)C.[K+],CCCC#N,"26.2812, 0.6396",0.5051641116163132,0.1428941881283608,0.1556534312908589,0.476153268219384,1.3691437802907915,0.0,0.0,1,26.2812,0.6396,5.749511833283905,1.5757575757575757,0.16493817797538565,5.47671304347826,132.88309335463015,0.0,-0.08653003485344724,7.15971673043478,0.11079804972539872,1.0852899143634414,0.08741751355540331,0.02944383860414395,0.01717557251908397,1.0227658773608461,0.2804447732846612,-0.1688876428024159,0.39418905107211205,1.1594571670907547,5.605894736842104,0.11097667482298176,-0.0013527925613014964,1.0736722514930668,-0.08653003485344724,7.197522342105265,-0.08653003485344724,6.059383720930233,1.078609052587538,3.0147608845298253,5.301727275272249,5.553396946564884,0.0,-0.3385472685362294,0.06376852651412131,0.4311235886673911,0.38542593143648674,24.26546827384644,0.03070030563026957,10.335877862595419,-0.0018608824509884154,3.9881769399077216
Result3922319,c1ccc(P(c2ncc[nH]2)c2ncc[nH]2)cc1,24.298,99.8834,0.0937,O=C([O-])C.[K+],CCCC#N,"24.2984, 1.6449",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.3691437802907915,0.0,0.0,1,24.2984,1.6449,11.130985805083679,6.693333333333333,0.134720549695391,6.0470476190476194,218.40493352587387,16.435525701322586,-0.705246913580247,7.566371555555556,0.09584736251402917,1.0289308288079764,-0.2298651716467244,-0.44256868586560744,-0.20942982456140352,1.089897876809493,0.25137565482875424,-0.01205401831139379,0.03066507367582629,5.473684210526316,6.221544680851065,0.09818329143950275,-0.04704500389156867,0.6440143369175629,-0.705246913580247,7.674248170212768,-0.705246913580247,6.488516666666669,0.9617975074183979,5.124775568564422,-56.743827160493844,6.553877192982457,0.0,-0.3540832809338596,0.05584544208390565,0.3489880575328075,0.37153411471227654,30.592788348610984,0.013101401152348062,21.56140350877193,0.027095975398325044,2.9879706249469717
Result3922324,c1ccc(OP(c2ccccc2)c2ccccc2)cc1,24.201,92.0090,0.0570,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"24.2015, 1.6731",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.0624999999999998,0.0,0.0,2,24.2015,1.6731,5.749511833283905,4.068627450980393,-0.011136651093980562,5.783012987012986,243.05833954547617,15.132826954189632,-0.8271604938271608,7.304026805194803,0.1689571944486972,1.052521616503201,-0.2212296165966876,-0.2842371323529411,-0.12622448979591835,1.0259059275360611,0.19001991384646116,-0.0648871145998418,-0.014110288944276345,4.713541666666666,5.939655172413793,0.16331117895195502,-0.17342588543672877,1.2482049253792147,-0.8271604938271608,7.439056034482759,-0.8271604938271608,6.180259459459459,0.9634977469959217,6.092107837374369,-17.131458805744522,6.1022734375,0.0,-0.49960589358376534,-0.004494895319535504,0.35570628621844763,0.36477172188949236,42.46456947923127,0.011978028599776236,21.0625,-0.06133328639686115,1.985629261824295
Result3922323,c1ccc(P(c2ccon2)c2ccco2)cc1,15.321,95.9479,0.0963,O=C([O-])C.[K+],CCCC#N,"15.3213, 2.1330",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.3691437802907915,0.0,0.0,1,15.3213,2.133,17.199515218445786,7.159722222222221,0.11178738890375949,6.192220338983052,230.35637670561724,16.240892119045636,-0.7434413580246915,7.748707118644069,0.11549362305148791,0.6598399976133218,-0.2607281083471659,-0.3985645933014354,-0.18698092031425362,0.6905480571135304,0.25137565482875424,0.06173012828702091,0.10896083912434873,6.2727272727272725,6.2252044444444445,0.11607559907368817,0.058991118548253514,0.6397199041896148,-0.7434413580246915,7.724686311111114,-0.7434413580246915,6.514020689655174,0.6378770143008188,5.080752764979582,-34.91742451184611,6.5904927272727285,0.0,-0.53238360488973,0.04864217625986476,0.3464318263721259,0.4004381469275154,36.39820241076966,0.013101401152348062,22.581818181818182,-0.11134153981501363,1.6420666814383487
Result3922327,Cc1ccc(C)c(P(CP(C)C)c2ccccc2)c1,9.1584,106.8734,0.1313,O=C([O-])C.[K+],CCCCOC(C)=O,"9.1584, 0.5368",0.6971767885426821,0.1453627869996672,0.1574807960088896,0.6819085487077534,1.0555555555555556,-0.18199074074074065,0.0,2,9.1584,0.5368,0.0,1.4514514514514514,0.16427371993109569,5.503435897435897,196.3587472357534,10.609079792477814,-0.19855967078189285,7.113258136752139,0.1657017882413483,1.4921858274459434,-0.3141851593143937,-0.38031045751634,-0.20633143203741938,1.5018315018315018,0.2342920386527526,-0.16903697625273026,0.3769250187545817,1.6350762527233116,5.438661111111111,0.1660355276163785,-0.1473409948331704,0.9670535499659156,-0.0788498362307879,7.0688621250000025,0.11970983455110495,5.903857142857144,1.3498715989069552,3.172581963617997,-49.2657001637767,5.629499999999999,19.232649640474904,-0.3373052105797976,0.08730286235895453,0.5285503214918099,0.3246929213107702,0.0,0.02688558746861524,17.294117647058822,-0.025219633808737624,4.3549966861248475
