Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS3Z,base_GATS3m,base_GATS1se,base_GATS2pe,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3953419,C=CNC(C)P(C)C(C)C(O)OC,58.0921,115.2461,0.1187,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"58.0921, 3.4955",0.476153268219384,0.5051641116163132,0.1428941881283608,0.1556534312908589,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,58.0921,3.4955,0.0,0.8962962962962961,0.13348307478539448,5.551126582278481,98.81856351251031,5.316788604006331,-0.3114763374485592,7.284419341772153,0.11486717326486669,1.0735112158678184,0.01940923921239439,-0.016095317725752543,-0.0074786324786324946,1.0562754411084876,0.0,-0.12422894248782802,0.19610999489388717,0.7596153846153846,5.892182142857143,0.11434679355538639,0.0030880885653872185,1.2272840915267131,-0.3114763374485592,7.547956928571429,-0.3114763374485592,6.244359375,1.062988713839991,1.1696666785777703,10.844664376650911,5.628944230769231,13.77462314551007,-0.39323879863789607,0.053305797541735464,0.5222179997462879,0.34464125782125277,6.923737199690624,0.02877710325490545,7.913461538461538,0.045837904739945035,-1.872497141181213
Result3953313,CC(c1ccccc1)P(c1ccccc1)C(N)C(Nc1ccccc1)c1ccccc1,54.769,102.8917,0.0992,O=C([O-])C.[Cs+],CC(N(C)C)=O,"54.7690, 0.9631",0.07445192098979814,0.056742661225519415,0.1265444360281399,0.15437109729761034,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,54.769,0.9631,0.0,2.6537150647580097,0.14759055861924225,5.672214285714285,186.40972190171905,16.354995977407423,-0.6983843012513644,7.254885687499999,0.09191206295124531,1.2097487300833578,0.006292198996095502,-0.03971719218749111,-0.019979954180985113,1.280552602467414,0.24894547894534008,-0.09203889215442783,0.11636332296263042,2.7594501718213054,5.817916190476191,0.09212158292862065,0.027468775152032977,1.1201856659408849,-0.6983843012513644,7.327439999999996,-0.6983843012513644,6.158785714285715,1.133394467333987,8.217062252910994,9.770562414266115,5.831386597938145,5.316788604006331,-0.31850149450855564,0.05007007884970905,0.359493837690161,0.34697707624628804,6.06636706846161,0.016807423205006843,16.22680412371134,-0.05220968429370136,4.707100541175356
Result3953307,C=CP(C=C(Br)Br)C=C(C)P(C=C)C(C)=O,54.7434,93.0454,0.0949,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"54.7434, 3.9885",0.06442562223749324,0.05199823768686698,0.1243972321309733,0.15285281509040824,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,54.7434,3.9885,0.0,1.586021505376344,0.0892096578133593,5.354997183098593,174.92546803134826,0.0,-0.8472117241958512,7.153614957746478,-0.004556104363265569,0.7588396841743903,0.26418419192520426,0.03208170002063131,0.018678678678678663,0.5688561241227788,0.0,-0.11683287565801474,-0.011680723959712874,0.8033033033033032,5.5736799999999995,-0.00537570135186301,-0.18161427413243833,1.4772626848053922,-1.3851901192575795,7.285809444444445,-0.5379783950617283,6.032068965517244,0.6982345356351772,1.6231499882696996,-49.303636640756,5.872683783783782,0.0,-0.38446187460125164,0.07159375479393101,0.6001306313959348,0.3359342141641291,18.557954222442213,0.03106826528762663,26.89189189189189,-0.009721711323908852,1.9980159148591436
Result3953423,CC(=O)NCN(C(=O)C(C)(C)P(c1nc2cc(Cl)c(Cl)cc2n1C)C(C)C)c1ccc(C)c(C)c1,52.3475,108.4697,0.1211,O=C([O-])C.[K+],CC(N(C)C)=O,"52.3475, 2.5122",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,52.3475,2.5122,5.565492902541839,3.043333333333333,0.04351140094195853,5.821766795366797,178.15488343984256,15.782191237398647,-1.0853430638373311,7.449380486486486,0.050525590211959286,0.7412978539238101,-0.02909715038242351,-0.10454078440454427,-0.07784038077526943,0.6601687424157192,0.7307617124707539,-0.2366917467275411,0.46779094250846726,2.598139990210475,6.008050000000001,0.050826303684397105,-0.0027124393857848195,1.3050741562936135,-1.0853430638373311,7.564921661290323,-1.0853430638373311,6.345592857142857,0.690772022987542,7.251031289186432,-91.9037442863856,6.118300881057268,11.56860091974962,-0.4458607467875637,0.014869459831516099,0.3693094500625388,0.4071713010452184,63.57518870307748,0.040639460449167254,18.03964757709251,0.3426067055208235,-0.23004641373633744
Result3953456,Cc1cccc(C)c1OC=C1OC1=c1c2c(oc1=CP(c1ccccc1)C(C)C)COC2,52.0569,97.4554,0.1240,O=C([O-])C.[K+],CC(N(C)C)=O,"52.0569, 1.9437",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,52.0569,1.9437,29.79416756787437,3.787037037037037,0.053728882526977495,5.917772151898738,194.32889635744223,20.675498728426142,-0.5303104147584168,7.533633367088608,0.11881070836294716,0.8078197087254283,0.14186452771350747,0.09745218017276847,0.06091811090374725,0.8550241988797519,1.5406724714174487,-0.14487636651956207,0.3884072395243464,3.8725718725718723,6.052584905660379,0.1179906492734715,-0.02870642816325658,1.1162172598697786,-0.5303104147584168,7.588939150943397,-0.5303104147584168,6.364476190476191,0.777062400703685,7.224542458469125,13.584275839566502,6.085018881118883,0.0,-0.533207885492962,0.018364705797967597,0.3443762531836772,0.49437814811206576,32.046575604766076,0.025604263097515963,18.286713286713287,-0.3112706171683748,1.487557079107084
Result3953452,Cc1c(Br)cc(NC(C)C(N)P(C)C)c(C)c1Br,51.998,103.6666,0.1064,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"51.9980, 4.7403",0.06442562223749324,0.05199823768686698,0.1243972321309733,0.15285281509040824,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,51.998,4.7403,0.0,0.9489326883738839,0.11349731489198164,5.463020618556702,137.05738111012528,11.050456081168516,-0.1366357120694639,7.204040020618561,0.002351898561592481,1.2448793016104898,0.14879759312478416,0.022161284906821878,0.014599347453409276,0.9956745335089212,0.213518699605585,-0.15549071194382244,0.5249462391886129,0.8103149878850814,5.690886956521738,0.0016048202834561436,-0.11352410508174642,1.1790263676337758,-0.1366357120694639,7.319719014492756,-0.1366357120694639,6.183961538461539,1.0711825005327806,2.0706649404096495,-17.114255926854845,5.625658878504673,18.646439812471403,-0.33114566678098345,0.0628422905391191,0.5434378663336609,0.3503331061554892,0.0,0.04157879150003541,16.009345794392523,0.02497906421151869,3.2628044224676107
Result3953453,BrC(=CP(C1CCCCC1)C1CCCCO1)C1CCCCC1,47.0768,107.5091,0.1148,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"47.0768, 2.2062",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,0.0,0.0,2,1.0624999999999998,47.0768,2.2062,0.0,1.0747642051989879,0.0978133073792511,5.661657534246576,163.03942768291105,0.0,-0.09233691316032533,7.339251000000001,0.03589375448671934,0.9682105270591783,-0.14336917630920584,-0.05709334873594881,-0.02482660020479529,0.8276496438610492,0.17677669529663687,0.0018191399855438685,0.1147406445896415,1.2383933229003652,5.682732142857141,0.03168828902757901,-0.11002459828769798,1.1190487655998564,-0.09233691316032533,7.2915770535714275,-0.09233691316032533,6.043044642857143,0.9371974601826092,0.30685562763219565,-2.7370639450098952,5.722411267605632,6.606881964512918,-0.4114639509617095,0.04065814004905675,0.4978641512619036,0.29914416621349804,0.0,0.014948953157843847,20.704225352112676,-0.05796800888970475,3.065659641998787
Result3953427,Cc1cccc(P(C=C2N(C)C(=O)C(=O)C(=S)N2C)c2ccsc2)c1C(=O)N(C)C,46.7543,119.6755,0.1503,O=C([O-])C.[Cs+],CCCCOC(C)=O,"46.7543, 2.9980",0.07445192098979814,0.056742661225519415,0.1265444360281399,0.15437109729761034,-0.18199074074074065,0.0,2,1.0555555555555556,46.7543,2.998,5.8209740960423995,3.77124183006536,0.045602169351374316,5.999703749999999,217.0949009624348,10.609079792477814,-1.1421358234651888,7.580616474999999,0.06569092283378006,0.6642075541482862,-0.16057530201300013,-0.09201999629698199,-0.06683700914470142,0.645902461886042,0.4650212146362949,-0.13575538679797358,0.37127452419394286,3.8044548044548048,6.200513186813186,0.06935140871218312,0.017165684108752795,1.2439729194187583,-1.1421358234651888,7.731200945054945,-1.1421358234651888,6.426472222222222,0.6387120035895665,7.089250074500921,-81.1861348528015,6.195792307692307,28.19068793070876,-0.41636416120144,0.020140358198264832,0.3704831229134323,0.4823452336534626,47.76643952584468,0.03421904656277617,23.797202797202797,-0.20949409281517545,-0.60438883903648
Result3953298,Cc1ccc(F)c(C)c1C=C1OC(C(C)C)CC(C2CCOCC2)C1CP(C1CCCCC1)C1CCCCO1,46.3354,105.5087,0.1517,O=C([O-])C.[K+],CCCCOC(C)=O,"46.3354, 2.8313",0.6819085487077534,0.6971767885426821,0.1453627869996672,0.1574807960088896,-0.18199074074074065,0.0,2,1.0555555555555556,46.3354,2.8313,17.68035210045037,1.6883116883116882,0.07548018179933849,5.779782608695655,156.57498721641926,0.0,-0.2682710829530712,7.396554353260869,0.11633639431971218,0.7277801924452859,0.0038403589418804767,0.00843687210398986,0.004517460561416622,0.7301954152319522,0.5254445220710199,-0.031755149289015176,0.3129891722308378,1.9033670033670034,5.8519784946236575,0.11413643675919148,-0.043744305530992345,1.0665066365433493,-0.2682710829530712,7.423947516129032,-0.2682710829530712,6.166705263157889,0.7446756535447742,3.684474852177317,53.39315344809848,5.728704545454545,25.982555921006675,-0.5275700365885718,0.022993388260119534,0.4110653211916988,0.37349915162757225,12.990104268152233,0.023730501769311754,13.057575757575757,-0.12702500190357283,2.3459248653600286
Result3953421,[C-3]OP(OC)OCC(O)O,45.9292,105.8410,0.0892,O=C([O-])C.[Cs+],CCCCOC(C)=O,"45.9292, 2.8054",0.07445192098979814,0.056742661225519415,0.1265444360281399,0.15437109729761034,-0.18199074074074065,0.0,2,1.0555555555555556,45.9292,2.8054,6.606881964512918,2.582222222222222,-0.4324642759340964,6.4389473684210525,164.8193813927092,0.0,-1.7420679012345672,8.101008,0.25007977874694187,1.338851160158461,0.020867975394597116,-0.3842105263157893,-0.18024691358024686,1.3559712318866801,0.0,-0.21135799073700398,-0.06834512000782635,7.2,7.363846153846153,0.240745379016941,-0.012530614609522525,1.4964858418311524,-1.7420679012345672,8.961049153846155,-1.7420679012345672,7.1623117647058825,1.2514138197743918,1.708261032422758,-12.845145557079704,7.0605699999999985,13.716679505790452,-2.312166048914725,-0.23172127343905857,0.37989339083271684,0.38818515603474624,0.0,0.0212306299765296,21.7,-0.23768253385388882,-7.767179239239599
