Folder Name,Ligand_SMILES,Fitness,temperature,concentration,base_SMILES,solvent_SMILES,Reaction_yield,base_GATS1se,base_GATS2pe,base_GATS3m,base_GATS3Z,solvent_SdssC,solvent_VSA_EState9,solvent_NsCH3,solvent_GATS4se,yield_pred,yield_Std,ligand_PEOE_VSA10,ligand_AATS4dv,ligand_MATS1p,ligand_AATS6are,ligand_AATS5v,ligand_SlogP_VSA1,ligand_MINsssP,ligand_AATS6se,ligand_MATS1Z,ligand_GATS1are,ligand_MATS6v,ligand_MATS5d,ligand_AATSC5d,ligand_GATS1se,ligand_Xch-7d,ligand_MATS3i,ligand_MATS1dv,ligand_AATS5dv,ligand_AATS2are,ligand_MATS1m,ligand_MATS7i,ligand_GATS4dv,ligand_SsssP,ligand_AATS2se,ligand_MAXsssP,ligand_AATS1pe,ligand_GATS1pe,ligand_ETA_eta_FL,ligand_ATSC5dv,ligand_AATS5pe,ligand_SMR_VSA6,ligand_BCUTc-1l,ligand_AATSC1p,ligand_AXp-1dv,ligand_BCUTc-1h,ligand_EState_VSA7,ligand_AETA_eta_BR,ligand_AATS5Z,ligand_ATSC2c,ligand_AATSC1v
Result3951954,CC(C)c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,67.788,106.4671,0.1281,O=C([O-])C.[Cs+],CCCC#N,"67.7879, 1.2919",0.1265444360281399,0.15437109729761034,0.056742661225519415,0.07445192098979814,0.0,0.0,1,1.3691437802907915,67.7879,1.2919,0.0,1.708994708994709,0.12349470463534637,5.5140210526315805,179.0594474189105,5.304539896238907,-0.0882813972639811,7.119615628070174,0.12101890871492804,1.2718843020527413,-0.14652678428825536,-0.17330210772833726,-0.09016393442622951,1.2754442706936773,0.3319273052604535,0.037959360410886774,0.3827000150539927,1.7049180327868851,5.582952380952382,0.11961497631775209,-0.13718055511124505,1.2105127577858947,-0.0882813972639811,7.159063238095238,-0.0882813972639811,5.968324675324676,1.2253863586494507,3.5749046111270637,-61.1514126739352,5.6460819672131155,0.0,-0.34309584349250233,0.04039289298847719,0.42809242295407934,0.33912573616780667,0.0,0.022569771429332114,13.668032786885245,-0.01794125165399671,3.792958208426199
Result3951968,Cc1cccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)C(CO)CO)c1,62.963,109.3294,0.1074,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"62.9630, 2.3312",0.1428941881283608,0.1556534312908589,0.5051641116163132,0.476153268219384,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,62.963,2.3312,0.0,3.711111111111111,0.17954134852532502,5.736785714285717,231.62313889325628,26.522699481194536,-0.9399430482069369,7.3231939642857125,0.10490721526357426,1.0335374474251582,-0.12787265314539942,-0.17660380029015252,-0.0939924670433145,0.996981015260436,0.34552203082849775,0.011042509486153942,-0.008311029722496118,3.8826114249843062,5.803673076923077,0.10678239984808165,-0.1027118703116258,1.0233105573001324,-1.7275930125136472,7.349073576923075,-0.7876499643067103,6.152611111111112,1.0092524629864579,8.175229582230681,-0.5941975308641982,5.94638418079096,13.213763929025836,-0.33093399350376984,0.07835410931843403,0.3870781550781152,0.3497144781683641,18.19910120538483,0.01669802849720888,21.214689265536723,-0.12400546251479931,5.586088537509923
Result3951959,Cc1cnn(-c2c(CP(C)Cc3cccc(O)c3O)cccc2C(C)C)c1,59.797,118.3198,0.1423,O=C([O-])C(C)(C)C.[K+],CC(N(C)C)=O,"59.7966, 0.7022",0.1428941881283608,0.1556534312908589,0.5051641116163132,0.476153268219384,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,59.7966,0.7022,0.0,2.1263616557734206,0.14735804664543456,5.70760843373494,188.36909966687125,0.0,-0.40537000293944736,7.321200578313251,0.0896671752813275,0.9183060424702265,-0.1440603127002649,-0.23326826547685459,-0.14343278463648843,0.9245979541322035,0.45748403036054636,-0.2436060531113842,0.4392469902096927,1.911265432098765,5.864760416666669,0.09025742189318411,-0.07515755829741405,1.3006379916770148,-0.40537000293944736,7.400937583333335,-0.40537000293944736,6.2898410714285715,0.912219894961422,5.473626657270617,-176.88324950464866,5.964775694444445,6.664825604232536,-0.4204042358273343,0.05089446800829071,0.3911066258761375,0.41422172013228303,16.94501357521987,0.02996786895070314,17.42361111111111,-0.16876802139545616,3.1242248604335816
Result3951956,CCC(C)(C)P(Cc1ccccc1-c1ccc(C(C)C)cc1)C(C)c1ccccc1,53.356,112.9607,0.1332,O=C([O-])C.[Cs+],CC(N(C)C)=O,"53.3558, 1.6235",0.1265444360281399,0.15437109729761034,0.056742661225519415,0.07445192098979814,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,53.3558,1.6235,0.0,1.5137566137566139,0.11189753657873559,5.438909090909091,150.9229092272778,0.0,-0.2408804578072652,7.074073333333334,0.10909869284322314,1.2177254093166108,0.020396425518628438,0.04632842644118732,0.026791845631838333,1.221701240882827,0.2621886974951644,-0.0992023616048185,0.4064690054726371,1.4449035812672175,5.589804878048781,0.10752138265881524,-0.07970263638595665,1.0038510319804521,-0.2408804578072652,7.161893853658535,-0.2408804578072652,5.984,1.1663476654286717,5.35698351766016,23.02042853724742,5.504721074380166,0.0,-0.336447080723846,0.03779394011485905,0.4039723773885012,0.33885342549878417,0.0,0.028055929237476254,11.442148760330578,-0.007943573581066243,2.880673600866993
Result3951969,CP(OP(C1=CC(c2ccccc2)CCO1)c1ccccc1)C1CCCCC1=O,47.919,118.3668,0.0763,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"47.9189, 3.9794",0.1243972321309733,0.15285281509040824,0.05199823768686698,0.06442562223749324,0.0,0.0,2,1.0624999999999998,47.9189,3.9794,19.432021111250823,2.7039573820395737,0.0047034032384739854,5.841131578947368,189.54858223159394,5.304539896238907,-1.0587151990425798,7.460510394736845,0.19333920026401202,0.9343179310530424,-0.06110856031601567,0.008645461751882714,0.004475736123935587,0.8751416561308167,0.3455220308284977,0.026853676300465198,0.11894706253013367,2.763888888888889,5.876557009345792,0.18843513753528177,-0.0631261386330898,1.1692965048525532,-1.8946706010936603,7.436443971962615,-0.8359554020510804,6.172645000000001,0.8847317421711938,5.232843636889186,-44.41040548088873,6.026198611111111,13.271707568745454,-0.5216385234431518,0.0021080553577349074,0.42003195924984155,0.37451380216195973,6.06636706846161,0.01854713350899379,19.73611111111111,-0.20343467048652208,2.552859354493905
Result3951955,C[SiH-]c1ccccc1P(C)C(C)(C)C,46.005,94.5971,0.1165,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"46.0054, 4.2061",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,0.0,0.0,2,1.0624999999999998,46.0054,4.2061,0.0,0.6277777777777779,0.030519087194848634,5.1817882352941185,144.01533596104707,10.491265541926365,-0.022505144032921587,6.863216470588235,0.09720098397712924,1.6961507329795844,-0.3986969921375973,-0.21127906976744182,-0.12574394463667818,1.6946653753251646,0.10703808753134778,-0.14733426440601347,0.40199308755760377,0.42333333333333334,5.298,0.10060378386389009,0.05740716413680853,1.2616036866359448,-0.022505144032921587,6.941554166666668,-0.022505144032921587,5.756941176470589,1.5891422873918861,1.7610622900437312,-35.4002306805075,5.319145,6.664825604232536,-0.5710862717137728,0.029533653044982705,0.5900451315849552,0.2820434654334794,0.0,0.0382621313817038,10.52,0.1174979920668568,2.5748087758139424
Result3951971,Cc1nnc(SC(Nc2ccccc2)P(C(C)C)C(C)C)n1CC(C)C,44.332,97.0654,0.1122,O=C([O-])C(C)(C)C.[Cs+],CC(N(C)C)=O,"44.3319, 1.7664",0.1243972321309733,0.15285281509040824,0.05199823768686698,0.06442562223749324,0.09259259259259278,3.4490740740740735,3,1.4760842589662049,44.3319,1.7664,5.824404497999927,1.52228875582169,0.09431330483978326,5.687973118279572,164.1135188063766,5.316788604006331,-0.24216311833375292,7.329803827956991,0.1230541605370397,0.9379005175935241,0.03969474983199668,0.03129652790185215,0.017351996222514984,0.8957011388190068,0.334931489700965,-0.16081953242089506,0.4649695025131681,1.6883780332056197,5.7634611111111145,0.12311279735483605,0.07979945544365133,1.2088138848399632,-0.24216311833375292,7.363899287037038,-0.24216311833375292,6.177668333333334,0.934018106837285,3.7635110237442895,12.38098176698194,5.844843103448277,5.316788604006331,-0.4151731994649168,0.0356425842054035,0.439838252753442,0.35727253483799903,18.685622149081738,0.03060046564386219,16.724137931034484,0.16252003198634565,0.2634128056191289
Result3951953,CN(Cn1cccn1)CP(c1ccccc1)c1ccccc1,41.906,98.9919,0.1411,O=C([O-])C.[K+],CCCC#N,"41.9060, 2.8165",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,0.0,0.0,1,1.3691437802907915,41.906,2.8165,0.0,2.447680690399137,0.0780185210993447,5.69851724137931,190.24342133302065,10.609079792477814,-0.387201331149744,7.269994241379306,0.13847062137100263,0.8283255396765544,-0.25240326486941295,-0.22079932451449472,-0.10464185674269706,0.8255336673629564,0.17677669529663687,-0.05652337416739515,0.1639434443288687,2.612200435729848,6.017563013698631,0.13645955504448423,-0.01957178897900739,0.9140990814553884,-0.387201331149744,7.521148246575341,-0.387201331149744,6.26686590909091,0.8059393195115021,5.991489034652082,-66.76324850928029,5.935961764705882,13.333516793131675,-0.4266380301929121,0.028973038284364018,0.37044385955449016,0.3458547056416187,23.141857146832947,0.015714260085371468,16.470588235294116,-0.1272951474326123,0.1617703900306111
Result3951965,[c-]1ccccc1CP(CC1=NCCO1)c1ccccc1,33.9,107.4298,0.1053,O=C([O-])C.[K+],CC1=CC=C(C)C=C1,"33.8996, 0.7357",0.1453627869996672,0.1574807960088896,0.6971767885426821,0.6819085487077534,0.0,0.0,2,1.0624999999999998,33.8996,0.7357,6.606881964512918,2.7950937950937953,0.09773080757773828,5.923414634146341,182.77891974770583,5.304539896238907,-0.33011316872428,7.463678243902442,0.12724014336917552,0.8378170035946315,-0.08048807083807018,0.041615667074663396,0.018482341549594845,0.8486174755047292,0.19001991384646116,0.04753254463107185,0.19998638261816865,3.624031007751938,5.944560606060606,0.12674166468997086,-0.037237339016916886,0.7905084195898516,-0.33011316872428,7.4800378181818195,-0.33011316872428,6.223307692307692,0.8090713663455692,4.918216001233746,73.38362687011337,5.802494186046511,19.313548397893413,-0.5104513727293648,0.03867497740849077,0.38586781994299935,0.36387632676646414,12.13273413692322,0.01281986622005662,16.13953488372093,0.03668351764638014,2.000473999473622
Result3951960,CP(C=C1OCCCC1(c1ccccc1)c1ccccc1)c1ccccc1,16.646,99.4436,0.0995,O=C([O-])C(C)(C)C.[Cs+],CC1=CC=C(C)C=C1,"16.6455, 1.5420",0.1243972321309733,0.15285281509040824,0.05199823768686698,0.06442562223749324,0.0,0.0,2,1.0624999999999998,16.6455,1.542,5.759164871656176,3.122931442080378,0.10351875146994036,5.635765363128492,195.24243832901217,5.304539896238907,-0.4247498845217097,7.2484864134078215,0.11973370217810954,0.8897096517103908,-0.11616864317683492,-0.1503046460093265,-0.08110002904127493,0.871978472182135,0.29535200735616096,0.011123304715553598,0.2611556537254587,2.7716428084526243,5.835297872340425,0.11873765019343749,-0.015779124331149353,1.2407099980753018,-0.4247498845217097,7.360530148936168,-0.4247498845217097,6.129272727272728,0.8695747243945798,6.446472645745144,-49.9618124041201,5.881598159509201,13.271707568745454,-0.5281370928380029,0.03720627316226379,0.38013788205250015,0.36491259525543185,0.0,0.016804316714728037,17.049079754601227,-0.14615553184504546,3.110229587354853
